"cont","iso3","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K"
"Brazil","BRA-AP","glm",60,96,90,50,82,90,90,80,80
"Brazil","BRA-BA","icar",27,82,74,50,58,74,74,47,47
"Brazil","BRA-BA","glm",18,78,72,50,56,71,72,43,43
"Brazil","BRA-CE","icar",38,88,80,50,66,80,80,59,59
"Brazil","BRA-CE","glm",22,79,72,50,56,72,72,44,44
"Brazil","BRA-ES","icar",31,85,77,50,62,77,77,54,54
"Brazil","BRA-ES","glm",20,80,73,50,58,73,73,47,47
"Brazil","BRA-GO","icar",15,72,66,50,49,66,66,32,32
"Brazil","BRA-GO","glm",6,68,63,50,46,63,63,27,27
"Brazil","BRA-MA","icar",37,86,77,50,63,77,77,54,54
"Brazil","BRA-MA","glm",22,80,72,50,56,72,72,44,44
"Brazil","BRA-MG","icar",27,81,73,50,57,72,73,45,45
"Brazil","BRA-MG","glm",15,75,69,50,52,69,69,37,37
"Brazil","BRA-MS","icar",20,76,69,50,53,69,69,38,38
"Brazil","BRA-MS","glm",10,71,66,50,49,66,66,32,32
"Brazil","BRA-MT","icar",42,87,79,50,65,79,79,58,58
"Brazil","BRA-MT","glm",19,78,71,50,55,71,71,42,42
"Brazil","BRA-PA","icar",57,93,86,50,75,86,86,72,72
"Brazil","BRA-PA","glm",42,90,82,50,70,82,82,64,64
"Brazil","BRA-PB","icar",31,85,77,50,62,77,77,54,54
"Brazil","BRA-PB","glm",23,81,74,50,59,74,74,49,49
"Brazil","BRA-PE","icar",33,85,77,50,62,76,77,53,53
"Brazil","BRA-PE","glm",26,82,74,50,59,74,75,49,49
"Brazil","BRA-PI","icar",18,75,68,50,51,68,68,36,36
"Brazil","BRA-PI","glm",9,70,64,50,47,64,64,28,28
"Brazil","BRA-PR","icar",25,80,72,50,56,72,72,44,44
"Brazil","BRA-PR","glm",19,79,72,50,55,71,72,43,43
"Brazil","BRA-RJ","icar",41,89,81,50,68,81,81,62,62
"Brazil","BRA-RJ","glm",33,87,79,50,65,79,79,58,58
"Brazil","BRA-RN","icar",31,85,76,50,61,76,76,52,52
"Brazil","BRA-RN","glm",22,81,74,50,59,74,74,48,48
"Brazil","BRA-RO","icar",46,90,81,50,69,81,82,63,63
"Brazil","BRA-RO","glm",30,84,76,50,61,76,76,52,52
"Brazil","BRA-RR","icar",56,93,86,50,76,86,86,72,72
"Brazil","BRA-RR","glm",44,90,82,50,70,82,82,64,64
"Brazil","BRA-RS","icar",26,81,73,50,57,73,73,46,46
"Brazil","BRA-RS","glm",22,79,72,50,56,72,72,43,43
"Brazil","BRA-SC","icar",29,82,75,50,60,75,75,49,49
"Brazil","BRA-SC","glm",22,79,72,50,56,72,72,43,43
"Brazil","BRA-SE","icar",28,83,75,50,60,75,75,50,50
"Brazil","BRA-SE","glm",20,80,73,50,58,73,73,46,46
"Brazil","BRA-SP","icar",45,90,82,50,69,82,82,64,64
"Brazil","BRA-SP","glm",36,87,79,50,65,79,79,58,58
"Brazil","BRA-TO","icar",18,74,67,50,50,67,67,34,34
"Brazil","BRA-TO","glm",1,57,56,50,38,55,56,11,11
