"cont","year","fc","perc"
"Asia",2104,92663548,68.8095540601455
"Africa",2105,124031914,54.8964041519468
"America",2105,416794592,39.361116377962
"Asia",2105,91227007,69.2930921435446
"Africa",2106,123029289,55.2610038048003
"America",2106,414601051,39.6802517025853
"Asia",2106,89790466,69.7766302269438
"Africa",2107,122026664,55.6256034576538
"America",2107,412407510,39.9993870272087
"Asia",2107,88353925,70.2601683103429
"Africa",2108,121024039,55.9902031105073
"America",2108,410217437,40.3180177971846
"Asia",2108,86917384,70.7437063937421
"Africa",2109,120021414,56.3548027633608
"America",2109,408027584,40.636616559657
"Asia",2109,85480843,71.2272444771412
"Africa",2110,119018789,56.7194024162143
"America",2110,405837731,40.9552153221293
"Asia",2110,84044302,71.7107825605404
"Africa",2111,118016164,57.0840020690678
"America",2111,403647878,41.2738140846017
"Asia",2111,82607761,72.1943206439395
"Africa",2112,117013539,57.4486017219213
"America",2112,401458025,41.592412847074
"Asia",2112,81171220,72.6778587273386
"Africa",2113,116010914,57.8132013747748
"America",2113,399278711,41.9094783046361
"Asia",2113,79746426,73.1574427837621
"Africa",2114,115008289,58.1778010276283
"America",2114,397101854,42.2261862965786
"Asia",2114,78526728,73.5679917574745
"Africa",2115,114005664,58.5424006804818
"America",2115,394924997,42.5428942885211
"Asia",2115,77307096,73.9785185156612
"Africa",2116,113003039,58.9070003333353
"America",2116,392748140,42.8596022804636
"Asia",2116,76087464,74.3890452738479
"Africa",2117,112000414,59.2715999861888
"America",2117,390571283,43.1763102724061
"Asia",2117,74867832,74.7995720320345
"Africa",2118,110997789,59.6361996390423
"America",2118,388394426,43.4930182643487
"Asia",2118,73648200,75.2100987902212
"Africa",2119,109995164,60.0007992918957
"America",2119,386217569,43.8097262562912
"Asia",2119,72428568,75.6206255484079
"Africa",2120,108992539,60.3653989447492
"America",2120,384040712,44.1264342482337
"Asia",2120,71208936,76.0311523065946
"Africa",2121,107989914,60.7299985976027
"America",2121,381863855,44.4431422401762
"Asia",2121,69989304,76.4416790647813
"Africa",2122,106993383,61.0923821973112
"America",2122,379686998,44.7598502321187
"Asia",2122,68769672,76.852205822968
"Africa",2123,106001447,61.4530948478564
"America",2123,377510141,45.0765582240612
"Asia",2123,67550040,77.2627325811547
"Africa",2124,105009511,61.8138074984016
"America",2124,375333284,45.3932662160037
"Asia",2124,66330408,77.6732593393414
"Africa",2125,104017575,62.1745201489468
"America",2125,373156427,45.7099742079462
"Asia",2125,65110776,78.0837860975281
"Africa",2126,103025639,62.535232799492
"America",2126,370979570,46.0266821998888
"Asia",2126,63891144,78.4943128557147
"Africa",2127,102093709,62.8741245630963
"America",2127,368802713,46.3433901918313
"Asia",2127,62671512,78.9048396139014
"Africa",2128,101176244,63.2077562005532
"America",2128,366625856,46.6600981837738
"Asia",2128,61451880,79.3153663720881
"Africa",2129,100258779,63.5413878380102
