area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Brazil,Brazil – Rondonia,RO,mean,127749844,129621774,187146882,243797193,368719601,439817714,515249422,673878658,845192529,933760778,1023742246,1208200416,1334345999,1,2
America,Brazil,Brazil – Rondonia,RO,high,127749844,148454988,214472338,282285911,441939860,532736629,628291530,832509208,1047368999,1159905134,1275844572,1334345999,1334345999,1,3
America,Brazil,Brazil – Roraima,RR,low,55421224,20621303,30630335,40558423,59973461,69541919,78941637,98153804,118386159,128860975,139408183,160670391,183767024,1,1
America,Brazil,Brazil – Roraima,RR,mean,55421224,61535966,90447053,119078969,177614436,208481088,239389268,304780752,375662745,412413776,449708394,529060720,620567103,1,2
America,Brazil,Brazil – Roraima,RR,high,55421224,100423503,148566410,197588109,301573976,357265049,415646381,542588987,682853147,757590380,837816683,1039017940,1363953163,1,3
America,Brazil,Brazil – Santa Catarina,SC,low,8051343,5581340,8366761,11173327,16848052,19714463,22596652,28925832,35925237,39717037,43613665,51706948,61275208,1,1
America,Brazil,Brazil – Santa Catarina,SC,mean,8051343,7384562,11095238,14843800,23075756,28218544,33608670,45890644,61517530,70243643,79203848,98688990,125093329,1,2
America,Brazil,Brazil – Santa Catarina,SC,high,8051343,9196192,13843556,18975297,32580409,40956799,50838716,74083337,100906811,116579396,136212552,165746184,165746184,1,3
America,Brazil,Brazil – Sao Paulo,SP,low,5535277,1561334,2383794,3347658,5961574,7535837,9236102,13444257,18604207,21580066,24718139,31426169,39826602,1,1
America,Brazil,Brazil – Sao Paulo,SP,mean,5535277,3049058,5329283,8241405,15872448,21180064,27027239,40995344,59347405,69730972,80446347,103817925,135255874,1,2
America,Brazil,Brazil – Sao Paulo,SP,high,5535277,5126256,9477805,15074923,31637886,42439203,55374810,86139595,121886704,142549404,167555937,212880139,212880139,1,3
America,Brazil,Brazil – Sergipe,SE,low,145426,39523,59713,79772,123642,146770,170640,409686,936241,1398437,1460077,1460077,1460077,1,1
America,Brazil,Brazil – Sergipe,SE,mean,145426,119156,187201,257856,680999,1460077,1460077,1460077,1460077,1460077,1460077,1460077,1460077,1,2
America,Brazil,Brazil – Sergipe,SE,high,145426,209394,328489,642507,1460077,1460077,1460077,1460077,1460077,1460077,1460077,1460077,1460077,1,3
America,Brazil,Brazil – Tocantins,TO,low,16279131,8673023,11930423,15307404,22339083,26281944,31083566,34127920,34127920,34127920,34127920,34127920,34127920,1,1
America,Brazil,Brazil – Tocantins,TO,mean,16279131,13616060,19676330,26301218,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,1,2
America,Brazil,Brazil – Tocantins,TO,high,16279131,18811604,28640194,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,1,3
America,Colombia,Colombia,COL,low,181668070,160652109,238712510,318062976,483690691,569489636,655636894,827387573,999578868,1086896055,1176886923,1366794786,1567911290,1,1
America,Colombia,Colombia,COL,mean,181668070,191470729,285952717,382551339,586169743,689332756,792260294,998631063,1212603000,1326437631,1444577814,1690874571,1947859142,1,2
