"area_cont","area_ctry","area_name","area_code","alt_m","alt_sd","slope_m","slope_sd","ddefor_m","ddefor_sd","dedge_m","dedge_sd","driver_m","driver_sd","droad_m","droad_sd","dtown_m","dtown_sd"
"Africa","Comoros","Comoros","COM",487.80420947131,430.809537469567,11.9038336256577,7.99971326265114,1486.14525726286,1195.32241969273,130.042202110106,260.645790761898,17174.3288164408,14153.6334440684,1655.04505225261,1538.51936715295,2233.73148657433,1493.24548253502
"Africa","Congo","Congo","COG",404.200070998998,119.332096914868,3.24824590711661,3.60401570489991,2889.45481311338,4668.37376864519,1954.14692002506,3787.67384505496,14031.136249739,11217.123745907,17965.1605972019,23151.8369771408,23193.6369179369,17460.446453176
"Africa","DRC","DRC","COD",574.206,299.808663978128,3.62322,3.91657123347735,1480.1727,2904.18434684541,1218.25628,2438.47904406436,9660.38478,8133.36479218489,14055.3317,15518.8327349434,17821.93288,16424.1204696028
"Africa","Eq. Guinea","Eq. Guinea","GNQ",383.61962668268,297.493275576495,4.54451283591052,4.91151896140902,1680.313,2237.63954272514,814.6037,1146.59450233897,7828.4142,7117.34521873054,2506.80175,3546.64787269664,12081.29165,8760.11765507501
"Africa","Ethiopia","Ethiopia","ETH",1766.72195,580.723659356689,9.63945,7.66230312908345,262.09925,412.860671529927,195.6718,329.317427542431,8345.5465,6344.60116214038,8065.9315,6528.78849705439,13387.4076,9012.54298256118
"Africa","Gabon","Gabon","GAB",310.900898843751,228.892484973231,4.10294148174289,3.9105843923421,3358.20223227252,4921.17215510193,1518.12250529024,2502.91329772861,8644.85662420646,8736.90440340657,17138.6608024563,19018.6376699177,15433.859362682,13670.6887120381
"Africa","Gambia","Gambia","GMB",6.1852816020025,4.1321375301759,0.73657071339174,0.874405921825972,103.0292,89.4515076785814,60.9151,45.6597594460553,2556.4744,2264.90872306608,4546.03545,2386.77047578072,3950.56525,1831.79523021289
"Africa","Ghana","Ghana","GHA",177.14635,100.707163738827,3.90555,3.62995702824446,321.82715,589.437619522408,225.06825,504.854201705984,9158.23585,6819.46643790771,2777.17345,2528.89778551162,4089.79345,3377.03795556916
"Africa","Guinea","Guinea","GIN",416.832040050063,251.327331244292,5.2213266583229,6.06595089252108,228.89765,615.445387768682,152.67345,451.9026604434,3903.5894,3667.50246323346,5022.9795,4804.82439234274,5790.0751,4122.65248360021
"Africa","Guinea Bissau","Guinea Bissau","GNB",15.3046918308723,13.9314234621236,1.16867409161921,1.12598326517037,155.10915,181.260197504133,76.4998,77.8778996142193,4754.91645,6239.77765504738,10528.3775,10234.9943149581,6486.25495,6894.04783792005
