"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Grenada","Grenada","GRD",25702,24494,22191,19717,19141,120,293,57,529,529,2.7,13851,11206,8561,3271,626,0,0,0,0,0,0,2056
"America","Guadeloupe","Guadeloupe","GLP",80041,79361,77548,75391,72939,78,375,222,529,529,0.7,67649,65004,62359,57069,54424,51779,46489,41199,38554,35909,30619,2157
"America","Guatemala","Guatemala","GTM",3503631,3041953,2727576,2501803,2281565,4818,48871,39428,58314,58314,2.4,1698425,1406855,1115285,532145,240575,0,0,0,0,0,0,2059
"America","Guyana","Guyana","GUY",18629589,18560054,18503776,18443678,18361596,1962,15128,11284,18973,18973,0.1,18171866,18077001,17982136,17792406,17697541,17602676,17412946,17223216,17128351,17033486,16843756,2987
"America","Haiti","Haiti","HTI",256246,199991,167635,139270,121983,557,4839,3747,5931,5931,4.3,62673,33018,3363,0,0,0,0,0,0,0,0,2040
"America","Honduras","Honduras","HND",3434964,3199796,3018384,2778623,2571484,5513,46114,35309,56918,56918,2.1,2002304,1717714,1433124,863944,579354,294764,0,0,0,0,0,2065
"America","Jamaica","Jamaica","JAM",482132,448766,426769,405883,395296,699,3293,1924,4663,4663,1.2,348666,325351,302036,255406,232091,208776,162146,115516,92201,68886,22256,2104
"America","Martinique","Martinique","MTQ",72811,72502,70609,67890,65994,91,428,250,606,606,0.9,59934,56904,53874,47814,44784,41754,35694,29634,26604,23574,17514,2128
"America","Mexico","Mexico","MEX",9349925,8349575,7512429,6919623,6269836,20021,134601,95361,173842,173842,2.6,4531416,3662206,2792996,1054576,185366,0,0,0,0,0,0,2056
"America","Montserrat","Montserrat","MSR",3418,3416,3396,3320,3287,3,11,4,18,18,0.5,3107,3017,2927,2747,2657,2567,2387,2207,2117,2027,1847,2202
"America","Nicaragua","Nicaragua","NIC",4971710,4685975,4312486,3749173,3375969,19094,96464,59040,133889,133889,3.6,2037079,1367634,698189,0,0,0,0,0,0,0,0,2045
