"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Nicaragua","Nicaragua","NIC",4926475,4618073,4262376,3724225,3407723,19614,85457,47013,123901,85457,2.2,2553153,2125868,1698583,844013,416728,0,0,0,0,0,0,2059
"America","Panama","Panama","PAN",4423117,4319505,4203937,4109780,4011766,2701,19202,13907,24496,19202,0.5,3819746,3723736,3627726,3435706,3339696,3243686,3051666,2859646,2763636,2667626,2475606,2228
"America","Paraguay","Paraguay","PRY",2358900,1757231,1439852,1219574,1090456,8068,34950,19137,50764,34950,2.7,740956,566206,391456,41956,0,0,0,0,0,0,0,2051
"America","Peru","Peru","PER",73255171,72583425,71901480,71271730,70774640,8719,112691,95602,129780,112691,0.2,69647730,69084275,68520820,67393910,66830455,66267000,65140090,64013180,63449725,62886270,61759360,2648
"America","Puerto Rico","Puerto Rico","PRI",422919,377786,358047,335449,321076,1083,3688,1566,5809,3688,1.1,284196,265756,247316,210436,191996,173556,136676,99796,81356,62916,26036,2107
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",9217,9168,8973,8777,8629,11,34,12,56,34,0.4,8289,8119,7949,7609,7439,7269,6929,6589,6419,6249,5909,2273
"America","Saint Lucia","Saint Lucia","LCA",47487,47339,46687,44786,44067,70,261,124,398,261,0.6,41457,40152,38847,36237,34932,33627,31017,28407,27102,25797,23187,2188
"America","Saint Martin","Saint Martin","MAF",728,688,560,488,319,10,24,4,44,24,5.4,79,0,0,0,0,0,0,0,0,0,0,2033
"America","Saint Vincent","Saint Vincent","VCT",28768,28742,28494,27786,27412,27,106,54,159,106,0.4,26352,25822,25292,24232,23702,23172,22112,21052,20522,19992,18932,2278
"America","Sint Maarten","Sint Maarten","SXM",308,290,216,188,116,4,10,2,18,10,6,16,0,0,0,0,0,0,0,0,0,0,2031
"America","Suriname","Suriname","SUR",13814096,13764773,13727213,13674329,13624006,1160,10316,8044,12589,10316,0.1,13520846,13469266,13417686,13314526,13262946,13211366,13108206,13005046,12953466,12901886,12798726,3340
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",348615,343830,330091,312334,306560,1007,2355,382,4328,2355,0.7,283010,271235,259460,235910,224135,212360,188810,165260,153485,141710,118160,2150
