"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Grenada","Grenada","GRD",25671,23906,21792,19599,19149,105,264,57,470,57,0.3,18579,18294,18009,17439,17154,16869,16299,15729,15444,15159,14589,2355
"America","Guadeloupe","Guadeloupe","GLP",79842,78964,77168,75131,73457,68,370,237,502,237,0.3,71087,69902,68717,66347,65162,63977,61607,59237,58052,56867,54497,2329
"America","Guatemala","Guatemala","GTM",3449029,3002703,2701746,2486775,2275440,4772,42648,33295,52000,33295,1.3,1942490,1776015,1609540,1276590,1110115,943640,610690,277740,111265,0,0,2088
"America","Guyana","Guyana","GUY",18618253,18541623,18489142,18433790,18365647,1973,12342,8474,16210,8474,0,18280907,18238537,18196167,18111427,18069057,18026687,17941947,17857207,17814837,17772467,17687727,4187
"America","Haiti","Haiti","HTI",247385,190316,162190,136542,122162,687,4001,2655,5346,2655,1.8,95612,82337,69062,42512,29237,15962,0,0,0,0,0,2066
"America","Honduras","Honduras","HND",3384398,3164220,2992667,2763133,2568531,5799,42409,31042,53775,31042,1.1,2258111,2102901,1947691,1637271,1482061,1326851,1016431,706011,550801,395591,85171,2102
"America","Jamaica","Jamaica","JAM",471672,440280,421123,403484,395420,596,2572,1403,3741,1403,0.3,381390,374375,367360,353330,346315,339300,325270,311240,304225,297210,283180,2301
"America","Martinique","Martinique","MTQ",72737,72250,70074,67604,66055,87,400,229,571,229,0.3,63765,62620,61475,59185,58040,56895,54605,52315,51170,50025,47735,2308
"America","Mexico","Mexico","MEX",9098171,8170886,7390063,6835027,6263914,13807,112620,85558,139682,85558,1.2,5408334,4980544,4552754,3697174,3269384,2841594,1986014,1130434,702644,274854,0,2093
"America","Montserrat","Montserrat","MSR",3413,3409,3366,3317,3294,2,7,3,11,3,0.1,3264,3249,3234,3204,3189,3174,3144,3114,3099,3084,3054,3118
"America","Nicaragua","Nicaragua","NIC",4926475,4618073,4262376,3724225,3407723,19614,85457,47013,123901,47013,1.2,2937593,2702528,2467463,1997333,1762268,1527203,1057073,586943,351878,116813,0,2092
"America","Panama","Panama","PAN",4423117,4319505,4203937,4109780,4011766,2701,19202,13907,24496,13907,0.3,3872696,3803161,3733626,3594556,3525021,3455486,3316416,3177346,3107811,3038276,2899206,2308
"America","Paraguay","Paraguay","PRY",2358900,1757231,1439852,1219574,1090456,8068,34950,19137,50764,19137,1.4,899086,803401,707716,516346,420661,324976,133606,0,0,0,0,2076
"America","Peru","Peru","PER",73255171,72583425,71901480,71271730,70774640,8719,112691,95602,129780,95602,0.1,69818620,69340610,68862600,67906580,67428570,66950560,65994540,65038520,64560510,64082500,63126480,2760
"America","Puerto Rico","Puerto Rico","PRI",422919,377786,358047,335449,321076,1083,3688,1566,5809,1566,0.4,305416,297586,289756,274096,266266,258436,242776,227116,219286,211456,195796,2225
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",9217,9168,8973,8777,8629,11,34,12,56,12,0.1,8509,8449,8389,8269,8209,8149,8029,7909,7849,7789,7669,2739
"America","Saint Lucia","Saint Lucia","LCA",47487,47339,46687,44786,44067,70,261,124,398,124,0.3,42827,42207,41587,40347,39727,39107,37867,36627,36007,35387,34147,2375
"America","Saint Martin","Saint Martin","MAF",728,688,560,488,319,10,24,4,44,4,0.7,279,259,239,199,179,159,119,79,59,39,0,2099
"America","Saint Vincent","Saint Vincent","VCT",28768,28742,28494,27786,27412,27,106,54,159,54,0.2,26872,26602,26332,25792,25522,25252,24712,24172,23902,23632,23092,2527
"America","Sint Maarten","Sint Maarten","SXM",308,290,216,188,116,4,10,2,18,2,1,96,86,76,56,46,36,16,0,0,0,0,2078
"America","Suriname","Suriname","SUR",13814096,13764773,13727213,13674329,13624006,1160,10316,8044,12589,8044,0.1,13543566,13503346,13463126,13382686,13342466,13302246,13221806,13141366,13101146,13060926,12980486,3713
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",348615,343830,330091,312334,306560,1007,2355,382,4328,382,0.1,302740,300830,298920,295100,293190,291280,287460,283640,281730,279820,276000,2822
"America","Venezuela","Venezuela","VEN",44742607,43541030,42912934,42109122,41429955,24944,148279,99388,197169,99388,0.2,40436075,39939135,39442195,38448315,37951375,37454435,36460555,35466675,34969735,34472795,33478915,2436
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",4010,3335,2840,2436,1859,35,96,28,164,28,1,1579,1439,1299,1019,879,739,459,179,39,0,0,2086
"America","Virgin Isl. US","Virgin Isl. US","VIR",9180,8494,8097,7543,6687,54,137,32,242,32,0.4,6367,6207,6047,5727,5567,5407,5087,4767,4607,4447,4127,2228
"Africa","Angola","Angola","AGO",7064733,6455239,6044153,5575642,5341117,13418,70293,43994,96591,43994,0.8,4901177,4681207,4461237,4021297,3801327,3581357,3141417,2701477,2481507,2261537,1821597,2141
"Africa","Benin","Benin","BEN",76776,58085,46640,39039,32026,320,1463,836,2090,836,2,23666,19486,15306,6946,2766,0,0,0,0,0,0,2058
"Africa","Burundi","Burundi","BDI",104249,75248,63638,57095,55077,309,856,251,1461,251,0.4,52567,51312,50057,47547,46292,45037,42527,40017,38762,37507,34997,2239
"Africa","Cameroon","Cameroon","CMR",23886943,23718002,23545984,23242042,22839759,6817,70641,57279,84002,57279,0.2,22266969,21980574,21694179,21121389,20834994,20548599,19975809,19403019,19116624,18830229,18257439,2418
"Africa","CAR","CAR","CAF",9807930,9527949,9324998,9065439,8853746,7087,47114,33224,61005,33224,0.4,8521506,8355386,8189266,7857026,7690906,7524786,7192546,6860306,6694186,6528066,6195826,2286
"Africa","Comoros","Comoros","COM",86626,86570,86551,86455,82543,65,263,136,390,136,0.2,81183,80503,79823,78463,77783,77103,75743,74383,73703,73023,71663,2626
"Africa","Congo","Congo","COG",24090355,24040864,23945320,23644110,23428171,6995,51689,37980,65399,37980,0.2,23048371,22858471,22668571,22288771,22098871,21908971,21529171,21149371,20959471,20769571,20389771,2636
"Africa","DRC","DRC","COD",131297735,128587236,125604601,121264561,118282874,86690,732153,562240,902066,562240,0.5,112660474,109849274,107038074,101415674,98604474,95793274,90170874,84548474,81737274,78926074,73303674,2230
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2646767,2645611,2641579,2624232,2612152,392,2941,2173,3710,2173,0.1,2590422,2579557,2568692,2546962,2536097,2525232,2503502,2481772,2470907,2460042,2438312,3222
"Africa","Ethiopia","Ethiopia","ETH",3799018,3245460,2824446,2395252,2214219,14529,61036,32558,89514,32558,1.2,1888639,1725849,1563059,1237479,1074689,911899,586319,260739,97949,0,0,2088
"Africa","Gabon","Gabon","GAB",24129292,24118619,24101266,24043292,23985301,1902,11595,7866,15324,7866,0,23906641,23867311,23827981,23749321,23709991,23670661,23592001,23513341,23474011,23434681,23356021,5069
"Africa","Gambia","Gambia","GMB",49362,44738,42221,40299,30941,239,566,98,1035,98,0.2,29961,29471,28981,28001,27511,27021,26041,25061,24571,24081,23101,2335
"Africa","Ghana","Ghana","GHA",4931885,4747254,4443182,4067673,3345428,24328,109799,62116,157481,62116,1.5,2724268,2413688,2103108,1481948,1171368,860788,239628,0,0,0,0,2073
"Africa","Guinea","Guinea","GIN",1895309,1500154,1213061,984272,836664,4691,37643,28448,46838,28448,2.6,552184,409944,267704,0,0,0,0,0,0,0,0,2049
"Africa","Guinea Bissau","Guinea Bissau","GNB",398114,345213,322875,300357,272074,668,5078,3768,6387,3768,1.2,234394,215554,196714,159034,140194,121354,83674,45994,27154,8314,0,2092
"Africa","Ivory Coast","Ivory Coast","CIV",7733912,7111018,6299445,5060626,3953930,41298,234522,153578,315466,153578,2.8,2418150,1650260,882370,0,0,0,0,0,0,0,0,2045
"Africa","Kenya","Kenya","KEN",1199041,1013174,891040,828958,767787,3694,12324,5084,19564,5084,0.6,716947,691527,666107,615267,589847,564427,513587,462747,437327,411907,361067,2171
"Africa","Liberia","Liberia","LBR",8905885,8833776,8653013,8325270,7908391,9507,74471,55838,93105,55838,0.7,7350011,7070821,6791631,6233251,5954061,5674871,5116491,4558111,4278921,3999731,3441351,2161
"Africa","Madagascar","Madagascar","MDG",7024045,6159673,5540745,4891325,4574078,15336,96645,66586,126704,66586,1.3,3908218,3575288,3242358,2576498,2243568,1910638,1244778,578918,245988,0,0,2088
"Africa","Malawi","Malawi","MWI",113422,91629,70190,47599,38722,641,3147,1891,4404,1891,3.1,19812,10357,902,0,0,0,0,0,0,0,0,2040
"Africa","Mauritius","Mauritius","MUS",49577,49047,46948,44455,43483,168,347,18,675,18,0,43303,43213,43123,42943,42853,42763,42583,42403,42313,42223,42043,4435
"Africa","Mayotte","Mayotte","MYT",17931,17870,17212,13395,12108,185,511,148,874,148,0.9,10628,9888,9148,7668,6928,6188,4708,3228,2488,1748,268,2101
"Africa","Nigeria","Nigeria","NGA",7770147,7541976,7213732,6824527,6197360,17826,101634,66695,136573,66695,1,5530410,5196935,4863460,4196510,3863035,3529560,2862610,2195660,1862185,1528710,861760,2112
"Africa","Reunion","Reunion","REU",141822,141748,141653,138068,134435,124,722,480,964,480,0.3,129635,127235,124835,120035,117635,115235,110435,105635,103235,100835,96035,2300
"Africa","Rwanda","Rwanda","RWA",283986,224118,194514,166894,160126,1091,3434,1296,5572,1296,0.7,147166,140686,134206,121246,114766,108286,95326,82366,75886,69406,56446,2143
"Africa","Senegal","Senegal","SEN",136279,131320,126391,121304,109027,865,1736,41,3431,41,0,108617,108412,108207,107797,107592,107387,106977,106567,106362,106157,105747,4679
"Africa","Sierra Leone","Sierra Leone","SLE",3440270,2931311,2259942,1744174,1414345,13009,84563,59064,110062,59064,3,823705,528385,233065,0,0,0,0,0,0,0,0,2043
"Africa","South Sudan","South Sudan","SSD",265213,226117,201434,179107,166518,635,3493,2248,4738,2248,1.2,144038,132798,121558,99078,87838,76598,54118,31638,20398,9158,0,2094
"Africa","Tanzania","Tanzania","TZA",1431023,1275732,1191090,1117808,1084184,2100,10689,6573,14804,6573,0.6,1018454,985589,952724,886994,854129,821264,755534,689804,656939,624074,558344,2184
"Africa","Togo","Togo","TGO",159791,123892,103124,86273,66193,899,3693,1930,5456,1930,2.1,46893,37243,27593,8293,0,0,0,0,0,0,0,2054
"Africa","Uganda","Uganda","UGA",1878962,1467712,1086505,838634,757680,6810,32878,19529,46226,19529,2,562390,464745,367100,171810,74165,0,0,0,0,0,0,2058
"Africa","Zambia","Zambia","ZMB",177005,139211,113804,94446,80866,696,3294,1931,4658,1931,1.8,61556,51901,42246,22936,13281,3626,0,0,0,0,0,2061
"Asia","Australia","Australia – Queensland","QLD",2054672,1937807,1875949,1817755,1764384,2439,11131,6349,15912,6349,0.3,1700894,1669149,1637404,1573914,1542169,1510424,1446934,1383444,1351699,1319954,1256464,2297
"Asia","Bangladesh","Bangladesh","BGD",962588,881820,815821,785793,770887,807,4489,2907,6071,2907,0.4,741817,727282,712747,683677,669142,654607,625537,596467,581932,567397,538327,2285
"Asia","Bhutan","Bhutan","BTN",1989664,1925813,1872066,1818263,1801761,1474,7022,4133,9912,4133,0.2,1760431,1739766,1719101,1677771,1657106,1636441,1595111,1553781,1533116,1512451,1471121,2455
"Asia","Brunei","Brunei","BRN",511380,505446,500991,497038,494299,87,668,499,838,499,0.1,489309,486814,484319,479329,476834,474339,469349,464359,461864,459369,454379,3010
"Asia","Cambodia","Cambodia","KHM",4804127,4349066,3863668,3203729,2753495,16323,111024,79030,143017,79030,2.3,1963195,1568045,1172895,382595,0,0,0,0,0,0,0,2054
"Asia","Fiji","Fiji","FJI",1004802,979416,957543,932471,924273,782,3300,1767,4832,1767,0.2,906603,897768,888933,871263,862428,853593,835923,818253,809418,800583,782913,2543
"Asia","India","India – Andaman and N.","AN",612018,606000,590589,579242,571667,759,1875,388,3363,388,0.1,567787,565847,563907,560027,558087,556147,552267,548387,546447,544507,540627,3493
"Asia","India","India – North-East","NE",7023487,6417531,5941225,5666785,5559858,6720,38134,24962,51305,24962,0.4,5310238,5185428,5060618,4810998,4686188,4561378,4311758,4062138,3937328,3812518,3562898,2242
"Asia","India","India – West. Ghats","WG",3144031,2905603,2703914,2444157,2236493,9079,46740,28945,64536,28945,1.1,1947043,1802318,1657593,1368143,1223418,1078693,789243,499793,355068,210343,0,2097
"Asia","Indonesia","Indonesia","IDN",139357957,132908237,126473252,120755315,117072449,149753,939867,646351,1233384,646351,0.5,110608939,107377184,104145429,97681919,94450164,91218409,84754899,78291389,75059634,71827879,65364369,2201
"Asia","Laos","Laos","LAO",11607486,10565451,9689918,8949661,8307710,15123,138221,108579,167863,108579,1.2,7221920,6679025,6136130,5050340,4507445,3964550,2878760,1792970,1250075,707180,0,2096
"Asia","Malaysia","Malaysia","MYS",25675843,23958033,22314895,20880307,20147119,28085,216762,161714,271809,161714,0.7,18529979,17721409,16912839,15295699,14487129,13678559,12061419,10444279,9635709,8827139,7209999,2144
"Asia","Myanmar","Myanmar","MMR",18278559,16672178,15380127,14303418,13727738,29178,165195,108006,222384,108006,0.7,12647678,12107648,11567618,10487558,9947528,9407498,8327438,7247378,6707348,6167318,5087258,2147
"Asia","New Caledonia","New Caledonia","NCL",904606,891061,879083,866439,854670,477,2425,1490,3359,1490,0.2,839770,832320,824870,809970,802520,795070,780170,765270,757820,750370,735470,2593
"Asia","Papua New Guinea","Papua New Guinea","PNG",40366239,39968276,39791231,39540733,39303989,9809,48691,29465,67917,29465,0.1,39009339,38862014,38714689,38420039,38272714,38125389,37830739,37536089,37388764,37241439,36946789,3353
"Asia","Philippines","Philippines","PHL",14755966,14123123,13684111,13198416,12752887,22009,93052,49915,136189,49915,0.4,12253737,12004162,11754587,11255437,11005862,10756287,10257137,9757987,9508412,9258837,8759687,2275
"Asia","Singapore","Singapore","SGP",16645,15711,15219,14433,13737,29,147,90,204,90,0.6,12837,12387,11937,11037,10587,10137,9237,8337,7887,7437,6537,2172
"Asia","Solomon Isl.","Solomon Isl.","SLB",2761868,2759882,2757047,2750546,2739427,350,1751,1065,2437,1065,0,2728777,2723452,2718127,2707477,2702152,2696827,2686177,2675527,2670202,2664877,2654227,4592
"Asia","Sri Lanka","Sri Lanka","LKA",2088270,1860158,1734951,1639017,1594309,3021,14060,8139,19981,8139,0.5,1512919,1472224,1431529,1350139,1309444,1268749,1187359,1105969,1065274,1024579,943189,2215
"Asia","Thailand","Thailand","THA",7188374,6732213,6341227,6061387,5815115,9947,52603,33106,72100,33106,0.5,5484055,5318525,5152995,4821935,4656405,4490875,4159815,3828755,3663225,3497695,3166635,2195
"Asia","Timor-Leste","Timor-Leste","TLS",130695,103425,89349,81102,77607,383,1173,422,1925,422,0.5,73387,71277,69167,64947,62837,60727,56507,52287,50177,48067,43847,2203
"Asia","Vanuatu","Vanuatu","VUT",1158362,1157933,1157826,1156616,1152161,157,564,256,873,256,0,1149601,1148321,1147041,1144481,1143201,1141921,1139361,1136801,1135521,1134241,1131681,6520
"Asia","Vietnam","Vietnam","VNM",10691887,9556631,8628085,8001030,7599018,14895,102909,73716,132102,73716,0.9,6861858,6493278,6124698,5387538,5018958,4650378,3913218,3176058,2807478,2438898,1701738,2123
