"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","for2110","loss21","yrdis"
"America","Brazil","Brazil – Sao Paulo","SP","low",3029,2781,2653,6930,0.3,2583,2514,2445,2410,2376,2298,2211,2164,2116,2017,1900,33,"2163"
"America","Brazil","Brazil – Sao Paulo","SP","mean",3029,2781,2653,12862,0.5,2524,2395,2256,2170,2081,1884,1645,1516,1387,1119,780,63,"2122"
"America","Brazil","Brazil – Sao Paulo","SP","high",3029,2781,2653,18794,0.7,2465,2269,2014,1865,1695,1320,921,704,450,0,0,100,"2097"
"America","Brazil","Brazil – Sergipe","SE","low",74,61,54,226,0.4,52,50,48,47,45,35,15,1,0,0,0,100,"2086"
"America","Brazil","Brazil – Sergipe","SE","mean",74,61,54,656,1.1,48,41,24,0,0,0,0,0,0,0,0,100,"2055"
"America","Brazil","Brazil – Sergipe","SE","high",74,61,54,1086,1.9,44,25,0,0,0,0,0,0,0,0,0,100,"2044"
"America","Brazil","Brazil – Tocantins","TO","low",1731,1341,954,22144,1.8,732,511,289,179,68,0,0,0,0,0,0,100,"2064"
"America","Brazil","Brazil – Tocantins","TO","mean",1731,1341,954,38777,3.4,566,178,0,0,0,0,0,0,0,0,0,100,"2045"
"America","Brazil","Brazil – Tocantins","TO","high",1731,1341,954,55410,5.2,400,0,0,0,0,0,0,0,0,0,0,100,"2038"
"America","Colombia","Colombia","COL","low",70049,66802,64254,212523,0.3,62129,60004,57879,56816,55753,53628,51503,50440,49378,47252,45127,33,"2322"
"America","Colombia","Colombia","COL","mean",70049,66802,64254,254796,0.4,61706,59158,56610,55336,54062,51514,48966,47692,46419,43871,41323,37,"2272"
"America","Colombia","Colombia","COL","high",70049,66802,64254,297069,0.5,61284,58313,55342,53857,52371,49401,46430,44945,43459,40489,37518,42,"2236"
"America","Costa Rica","Costa Rica","CRI","low",2412,2277,2132,9291,0.4,2039,1946,1853,1806,1760,1667,1574,1528,1481,1388,1295,42,"2249"
"America","Costa Rica","Costa Rica","CRI","mean",2412,2277,2132,14520,0.7,1986,1841,1696,1623,1551,1406,1260,1188,1115,970,825,60,"2166"
"America","Costa Rica","Costa Rica","CRI","high",2412,2277,2132,19748,0.9,1934,1737,1539,1440,1342,1144,947,848,749,552,354,77,"2127"
"America","Cuba","Cuba","CUB","low",1521,1297,1155,7725,0.6,1078,1001,923,885,846,769,692,653,614,537,460,65,"2169"
"America","Cuba","Cuba","CUB","mean",1521,1297,1155,14086,1.1,1014,873,732,662,592,451,310,239,169,28,0,98,"2101"
"America","Cuba","Cuba","CUB","high",1521,1297,1155,20446,1.7,951,746,542,439,337,133,0,0,0,0,0,100,"2076"
"America","Dominica","Dominica","DMA","low",71,70,67,126,0.2,66,65,64,63,62,61,60,59,59,57,56,19,"2555"
"America","Dominica","Dominica","DMA","mean",71,70,67,254,0.4,65,62,60,59,57,55,52,51,50,47,45,33,"2285"
"America","Dominica","Dominica","DMA","high",71,70,67,383,0.6,64,60,56,54,52,48,44,43,41,37,33,48,"2196"
"America","Dominican Rep.","Dominican Rep.","DOM","low",1254,993,871,6964,0.7,802,732,662,627,593,523,453,418,384,314,244,75,"2145"
"America","Dominican Rep.","Dominican Rep.","DOM","mean",1254,993,871,12164,1.3,750,628,506,445,385,263,141,80,20,0,0,100,"2091"
"America","Dominican Rep.","Dominican Rep.","DOM","high",1254,993,871,17364,1.9,698,524,350,263,177,3,0,0,0,0,0,100,"2070"
"America","Ecuador","Ecuador","ECU","low",15460,14903,14391,31232,0.2,14079,13766,13454,13298,13142,12829,12517,12361,12205,11892,11580,23,"2480"
"America","Ecuador","Ecuador","ECU","mean",15460,14903,14391,51193,0.3,13879,13367,12855,12599,12343,11831,11319,11063,10807,10295,9784,33,"2301"
"America","Ecuador","Ecuador","ECU","high",15460,14903,14391,71154,0.5,13679,12968,12256,11901,11545,10833,10122,9766,9410,8699,7987,44,"2222"
"America","El Salvador","El Salvador","SLV","low",129,109,97,796,0.8,89,81,73,69,65,57,49,45,41,33,25,74,"2141"
"America","El Salvador","El Salvador","SLV","mean",129,109,97,1220,1.2,84,72,60,54,48,36,23,17,11,0,0,100,"2099"
