"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100","C2110"
"America","Honduras","Honduras","HND","mean",28299,30573,62847,92882,122192,153023,186338,188247,188247,188247
"America","Honduras","Honduras","HND","high",28299,39348,79218,116386,155377,188247,188247,188247,188247,188247
"America","Jamaica","Jamaica","JAM","low",1032,586,1210,1836,2463,3079,3689,4291,4887,5475
"America","Jamaica","Jamaica","JAM","mean",1032,1105,2255,3384,4490,5572,6631,7677,8716,9753
"America","Jamaica","Jamaica","JAM","high",1032,1627,3283,4886,6440,7961,9470,10984,12521,14070
"America","Martinique","Martinique","MTQ","low",75,53,95,136,182,228,277,327,379,431
"America","Martinique","Martinique","MTQ","mean",75,84,159,239,327,417,512,612,716,824
"America","Martinique","Martinique","MTQ","high",75,114,227,352,484,626,777,937,1110,1311
"America","Mexico","Mexico","MEX","low",46536,35902,72580,110552,148846,186634,224701,266418,283494,283494
"America","Mexico","Mexico","MEX","mean",46536,47313,96494,146901,196664,247866,283494,283494,283494,283494
"America","Mexico","Mexico","MEX","high",46536,58930,120739,182776,245740,283494,283494,283494,283494,283494
"America","Montserrat","Montserrat","MSR","low",2,1,1,2,3,4,4,5,6,7
"America","Montserrat","Montserrat","MSR","mean",2,2,3,5,7,9,11,13,15,17
"America","Montserrat","Montserrat","MSR","high",2,3,5,9,12,15,18,21,25,28
"America","Nicaragua","Nicaragua","NIC","low",41399,27339,56231,84640,112724,143495,178302,220485,231755,231755
"America","Nicaragua","Nicaragua","NIC","mean",41399,50975,102340,158452,231755,231755,231755,231755,231755,231755
"America","Nicaragua","Nicaragua","NIC","high",41399,74292,152421,231755,231755,231755,231755,231755,231755,231755
"America","Panama","Panama","PAN","low",11736,10772,20745,30766,40836,51016,61231,71531,81956,92565
"America","Panama","Panama","PAN","mean",11736,14579,28372,42279,56353,70532,84951,99755,115047,130824
"America","Panama","Panama","PAN","high",11736,18367,36021,53915,72002,90502,109706,129702,150520,172135
"America","Paraguay","Paraguay","PRY","low",17284,10122,20395,30683,41171,51534,58591,58591,58591,58591
"America","Paraguay","Paraguay","PRY","mean",17284,18613,37533,56448,58591,58591,58591,58591,58591,58591
