area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Colombia,Colombia,COL,mean,214136365,243363744,361624113,479285779,717152622,834850257,950772244,1181077005,1414317441,1533721930,1655318959,1904954118,2162809999,1,2
America,Colombia,Colombia,COL,high,214136365,282695559,420160553,557987213,834298279,969412233,1103727746,1374040545,1654223844,1798709381,1945987266,2248822246,2561080445,1,3
America,Costa Rica,Costa Rica,CRI,low,10504491,6488923,10027597,13677113,21326366,25306490,29373637,37703454,46261108,50611526,55007794,63909431,72946582,1,1
America,Costa Rica,Costa Rica,CRI,mean,10504491,10479778,16267219,22317831,35081855,41702590,48440289,62243374,76384891,83560767,90792844,105387364,120144939,1,2
America,Costa Rica,Costa Rica,CRI,high,10504491,14615587,22814552,31442926,49531712,58899644,68432071,87897853,107743545,117777950,127888543,148290358,162851137,1,3
America,Cuba,Cuba,CUB,low,8211826,3416304,5675632,7965255,12690789,15191311,17792613,23117168,28608646,31438602,34314644,40241689,46397593,1,1
America,Cuba,Cuba,CUB,mean,8211826,7152681,11414574,15942848,25683210,30765824,36031857,47130863,58830108,64865732,71033614,83685232,85491947,1,2
America,Cuba,Cuba,CUB,high,8211826,10992075,17634888,24715020,39880451,48050564,56524371,74265872,85491947,85491947,85491947,85491947,85491947,1,3
America,Dominica,Dominica,DMA,low,209614,113073,173118,234408,359372,422509,485760,611217,737726,801503,865123,992261,1120937,1,1
America,Dominica,Dominica,DMA,mean,209614,236444,362359,489783,743776,872126,1000383,1258349,1511947,1639237,1767098,2026136,2290265,1,2
America,Dominica,Dominica,DMA,high,209614,364300,555892,747678,1136058,1328883,1519897,1906167,2302679,2502741,2703009,3105950,3509040,1,3
America,Dominican Rep.,Dominican Rep.,DOM,low,9362589,5585880,8371052,11178527,16919574,19835964,22770219,28732637,34767704,37822769,40903315,47144370,53539033,1,1
America,Dominican Rep.,Dominican Rep.,DOM,mean,9362589,9756774,14717495,19796766,30173983,35458992,40821725,51815689,63401896,69495422,75871386,77754143,77754143,1,2
