area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,for2110,yrdis,id_cont,id_d
America,Brazil,Brazil – Minas Gerais,MG,mean,1824088,1473178,1277155,1043667,953964,8032,32323,16580,48067,32323,2.9,630734,469119,307504,0,0,0,0,0,0,0,0,0,2050,1,2
America,Brazil,Brazil – Minas Gerais,MG,high,1824088,1473178,1277155,1043667,953964,8032,32323,16580,48067,48067,4.6,473294,232959,0,0,0,0,0,0,0,0,0,0,2040,1,3
America,Brazil,Brazil – Para,PA,low,100167628,95740165,91982099,89972959,87763541,38524,421863,346357,497370,346357,0.4,84299971,82568186,80836401,77372831,75641046,73909261,70437243,66956110,65211798,63466548,59973861,56462357,2242,1,1
America,Brazil,Brazil – Para,PA,mean,100167628,95740165,91982099,89972959,87763541,38524,421863,346357,497370,421863,0.5,83544911,81435596,79326281,75096795,72965768,70831923,66544837,62215306,60041594,57867882,53509535,49080781,2189,1,2
America,Brazil,Brazil – Para,PA,high,100167628,95740165,91982099,89972959,87763541,38524,421863,346357,497370,497370,0.6,82789841,80302991,77808792,72767722,70225177,67662776,62502388,57317526,54707611,52060809,46444840,39859581,2157,1,3
America,Brazil,Brazil – Paraiba,PB,low,46097,42632,40834,38875,37762,95,308,122,494,122,0.3,36542,35932,35322,34102,33492,32882,23213,4430,0,0,0,0,2082,1,1
America,Brazil,Brazil – Paraiba,PB,mean,46097,42632,40834,38875,37762,95,308,122,494,308,0.8,34682,33142,31602,17665,0,0,0,0,0,0,0,0,2054,1,2
America,Brazil,Brazil – Paraiba,PB,high,46097,42632,40834,38875,37762,95,308,122,494,494,1.3,32822,30352,20532,0,0,0,0,0,0,0,0,0,2044,1,3
America,Brazil,Brazil – Parana,PR,low,3201580,2875725,2673110,2534833,2475267,3601,19780,12721,26839,12721,0.5,2348057,2284452,2220847,2093637,2030032,1966427,1830768,1685995,1609863,1532793,1376466,1201323,2151,1,1
America,Brazil,Brazil – Parana,PR,mean,3201580,2875725,2673110,2534833,2475267,3601,19780,12721,26839,19780,0.8,2277467,2178567,2079667,1871010,1750398,1626968,1360712,1052011,888714,725417,387900,0,2110,1,2
America,Brazil,Brazil – Parana,PR,high,3201580,2875725,2673110,2534833,2475267,3601,19780,12721,26839,26839,1.1,2206877,2072682,1931137,1595378,1405487,1195741,740663,261111,3852,0,0,0,2086,1,3
America,Brazil,Brazil – Pernambouco,PE,low,137903,125224,118577,111936,109230,257,936,432,1439,432,0.4,104910,102750,100590,96270,94110,91950,79182,57299,42612,26987,0,0,2099,1,1
America,Brazil,Brazil – Pernambouco,PE,mean,137903,125224,118577,111936,109230,257,936,432,1439,936,0.8,99870,95190,90510,70293,43902,14692,0,0,0,0,0,0,2063,1,2
America,Brazil,Brazil – Pernambouco,PE,high,137903,125224,118577,111936,109230,257,936,432,1439,1439,1.3,94840,87645,73100,0,0,0,0,0,0,0,0,0,2050,1,3
