area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Dominican Rep.,Dominican Rep.,DOM,low,6204633,3292887,5120442,7030246,11068627,13170191,15300219,19670665,24145054,26437106,28754897,33515578,38468551,1,1
America,Dominican Rep.,Dominican Rep.,DOM,mean,6204633,6054987,9492343,13141655,20733461,24662633,28693196,37126721,46157198,50840518,55590128,56948950,56948950,1,2
America,Dominican Rep.,Dominican Rep.,DOM,high,6204633,8975419,14185729,19610912,31021093,37093570,43491320,56948950,56948950,56948950,56948950,56948950,56948950,1,3
America,Ecuador,Ecuador,ECU,low,30826765,15016499,23884242,33475072,54088464,65178260,76767358,100932525,126305525,139499496,153036222,181061191,210214476,1,1
America,Ecuador,Ecuador,ECU,mean,30826765,26498313,42691932,60190277,98890377,119504229,141016405,186676491,235274332,260438694,286172190,339528391,395911103,1,2
America,Ecuador,Ecuador,ECU,high,30826765,39021654,63305714,90062970,148520274,180310196,213576527,283547249,358284421,397910434,439131045,525857426,617874521,1,3
America,El Salvador,El Salvador,SLV,low,505618,349330,513608,676730,996350,1154969,1314071,1630653,1943290,2098289,2252053,2549873,2831533,1,1
America,El Salvador,El Salvador,SLV,mean,505618,524353,773088,1016811,1503426,1745086,1984089,2450939,2884685,3087105,3282954,3631342,3631342,1,2
America,El Salvador,El Salvador,SLV,high,505618,698221,1027929,1356564,2005518,2322718,2626873,3182236,3631342,3631342,3631342,3631342,3631342,1,3
America,French Guiana,French Guiana,GUF,low,2761034,2839825,4148881,5382968,7717766,8880913,10076657,12580888,15124923,16366565,17589913,20012971,22409464,1,1
America,French Guiana,French Guiana,GUF,mean,2761034,3482682,5057302,6528738,9427052,10949910,12515186,15667767,18709216,20212955,21702049,24713510,27783692,1,2
America,French Guiana,French Guiana,GUF,high,2761034,4114487,5927988,7653158,11216759,13095449,14989666,18642180,22213432,24014838,25835476,29543804,33349947,1,3
America,Grenada,Grenada,GRD,low,94319,13661,23726,34123,56374,67634,79276,102212,124687,135436,146358,166963,187604,1,1
America,Grenada,Grenada,GRD,mean,94319,93983,145138,193008,285254,331876,376737,469985,572120,572120,706014,706014,706014,1,2
America,Grenada,Grenada,GRD,high,94319,172099,255217,337231,503605,572120,706014,706014,706014,706014,706014,706014,706014,1,3
America,Guadeloupe,Guadeloupe,GLP,low,81865,70638,103602,132949,191788,221223,248789,302443,360376,390451,421075,484509,550986,1,1
America,Guadeloupe,Guadeloupe,GLP,mean,81865,107422,152210,199239,285098,328611,375031,471966,576214,631876,690438,818317,961621,1,2
America,Guadeloupe,Guadeloupe,GLP,high,81865,139585,202598,261334,381562,446968,515280,664738,837290,934572,1040558,1286005,1562420,1,3
America,Guatemala,Guatemala,GTM,low,23684707,18526433,28346839,38354728,58318912,68272670,78258182,98407884,118628011,128792111,135597960,135597960,135597960,1,1
America,Guatemala,Guatemala,GTM,mean,23684707,23997276,36778277,49602787,75113213,87966407,100907713,126844149,135597960,135597960,135597960,135597960,135597960,1,2
America,Guatemala,Guatemala,GTM,high,23684707,29580754,45218536,60775455,92047212,107820478,123644587,135597960,135597960,135597960,135597960,135597960,135597960,1,3
America,Guyana,Guyana,GUY,low,11145161,12508095,17251857,21965410,31828152,36718984,41554896,51292577,61278426,66380930,71522390,81913355,92344720,1,1
America,Guyana,Guyana,GUY,mean,11145161,16849924,23758743,30975489,45143003,52252056,59518740,74444275,89605265,97265904,105009555,120608895,136363621,1,2
America,Guyana,Guyana,GUY,high,11145161,21140708,30550306,39856122,58628590,68390129,78278473,98302168,118725116,129050926,139441233,160305831,181276090,1,3
America,Haiti,Haiti,HTI,low,1232308,846380,1285471,1727234,2621956,3073453,3521851,4024112,4024112,4024112,4024112,4024112,4024112,1,1
America,Haiti,Haiti,HTI,mean,1232308,1291795,1955533,2634688,3969373,4024112,4024112,4024112,4024112,4024112,4024112,4024112,4024112,1,2
America,Haiti,Haiti,HTI,high,1232308,1738987,2640394,3545647,4024112,4024112,4024112,4024112,4024112,4024112,4024112,4024112,4024112,1,3
America,Honduras,Honduras,HND,low,28298744,21805680,33784147,45729239,68938159,79985179,90780962,112127795,133938792,145245527,157076767,181281903,188246697,1,1
America,Honduras,Honduras,HND,mean,28298744,30572700,46893967,62847405,92881789,107446173,122191911,153023070,186338202,188246697,188246697,188246697,188246697,1,2
America,Honduras,Honduras,HND,high,28298744,39347563,59755508,79218168,116385856,135341510,155377257,188246697,188246697,188246697,188246697,188246697,188246697,1,3
America,Jamaica,Jamaica,JAM,low,1031988,585848,897245,1210093,1835681,2150244,2463299,3079358,3688912,3990926,4290871,4886576,5474822,1,1
America,Jamaica,Jamaica,JAM,mean,1031988,1105352,1679429,2254728,3384414,3940693,4490010,5571649,6631185,7155768,7676908,8716292,9753127,1,2
America,Jamaica,Jamaica,JAM,high,1031988,1627476,2463005,3282951,4886094,5668940,6440157,7960699,9470175,10224998,10984426,12521193,14069890,1,3
America,Martinique,Martinique,MTQ,low,74769,52930,74782,94555,136229,158921,181823,227696,276512,301772,327450,378924,431058,1,1
America,Martinique,Martinique,MTQ,mean,74769,84444,119541,158641,239036,282227,326779,417143,512123,561413,611774,715684,824445,1,2
America,Martinique,Martinique,MTQ,high,74769,114199,169799,227062,352040,416839,484134,625566,776654,855417,936625,1110296,1311102,1,3
