area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,id_cont,id_d
America,Brazil,Brazil – Roraima,RR,low,63099291,17257490,25609454,34021595,50008130,58143825,67445489,86175953,107840756,119476937,131483840,156064664,1,1
America,Brazil,Brazil – Roraima,RR,mean,63099291,57703871,85060078,111937380,169864183,200440284,234176763,304543109,380939634,420833471,465432375,565917365,1,2
America,Brazil,Brazil – Roraima,RR,high,63099291,96455915,142758289,191612377,299248771,359674140,421875282,559539688,726776375,820142481,929635666,1225720816,1,3
America,Brazil,Brazil – Santa Catarina,SC,low,11017970,9426775,13966446,18510099,27566599,32238665,37724689,49222642,63468876,71364113,79807839,97807278,1,1
America,Brazil,Brazil – Santa Catarina,SC,mean,11017970,12109838,17990483,23863101,38171095,46517886,56969700,80200122,107181677,123002892,143492507,164629810,1,2
America,Brazil,Brazil – Santa Catarina,SC,high,11017970,14798591,22024387,30779527,53780039,68224477,84486027,126091545,164629810,164629810,164629810,164629810,1,3
America,Brazil,Brazil – Sao Paulo,SP,low,6918237,2554130,4306498,6287167,10918344,13704263,17476845,26114344,38123364,45093327,52704042,69169033,1,1
America,Brazil,Brazil – Sao Paulo,SP,mean,6918237,4454525,7616632,11323794,22892850,30638204,41073085,65272979,93962698,110667677,132032526,183410999,1,2
America,Brazil,Brazil – Sao Paulo,SP,high,6918237,6616326,11541316,18988233,42569237,58665937,77188346,124642121,191138707,212282467,212282467,212282467,1,3
America,Brazil,Brazil – Sergipe,SE,low,170725,72796,112494,152243,236388,327938,743113,1464754,1464754,1464754,1464754,1464754,1,1
America,Brazil,Brazil – Sergipe,SE,mean,170725,173316,265820,358152,1464754,1464754,1464754,1464754,1464754,1464754,1464754,1464754,1,2
America,Brazil,Brazil – Sergipe,SE,high,170725,275787,427347,1304282,1464754,1464754,1464754,1464754,1464754,1464754,1464754,1464754,1,3
America,Brazil,Brazil – Tocantins,TO,low,17731983,9829495,13688274,17899736,27318330,33408329,33408329,33408329,33408329,33408329,33408329,33408329,1,1
America,Brazil,Brazil – Tocantins,TO,mean,17731983,14967063,22146269,31211121,33408329,33408329,33408329,33408329,33408329,33408329,33408329,33408329,1,2
America,Brazil,Brazil – Tocantins,TO,high,17731983,20573909,33408329,33408329,33408329,33408329,33408329,33408329,33408329,33408329,33408329,33408329,1,3
America,Colombia,Colombia,COL,low,198344528,190474269,284893685,383603067,591211668,694971372,798324652,1006990207,1230352817,1348496951,1470444598,1724358084,1,1
America,Colombia,Colombia,COL,mean,198344528,216068690,324966604,439888097,676743827,794337151,911949981,1158512755,1427150962,1568657635,1714392443,2016034936,1,2
America,Colombia,Colombia,COL,high,198344528,241880069,365924842,497137296,762042510,893656135,1028295122,1318283613,1633615719,1799168129,1968712337,2316249776,1,3
America,Costa Rica,Costa Rica,CRI,low,5661386,3972466,6413828,9109656,15085804,18302499,21620478,28566635,35985553,39901311,43971777,52607149,1,1
America,Costa Rica,Costa Rica,CRI,mean,5661386,5267891,8598859,12276529,20395055,24714857,29210026,38802298,49366698,55056531,61033372,73914826,1,2
America,Costa Rica,Costa Rica,CRI,high,5661386,6647482,10921174,15651140,25973358,31521265,37370562,50150663,64570019,72454387,80781981,99200886,1,3
America,Cuba,Cuba,CUB,low,3177988,2272840,3638086,5083978,8068171,9579407,11093775,14207117,17479501,19158523,20840680,24230267,1,1
America,Cuba,Cuba,CUB,mean,3177988,3611551,5779778,8010405,12547713,14903297,17353172,22369712,27551329,30312327,33230387,38487132,1,2
America,Cuba,Cuba,CUB,high,3177988,5027790,7983137,10977621,17290209,20617714,23969301,31143329,38487132,38487132,38487132,38487132,1,3
