system:index,a_cat,area_code,area_name,b_cat,b_col,b_row,cat,fc2000,fc2001,fc2002,fc2003,fc2004,fc2005,fc2006,fc2007,fc2008,fc2009,fc2010,fc2011,fc2012,fc2013,fc2014,fc2015,fc2016,fc2017,fc2018,fc2019,fc2020,fc2021,.geo
00000000000000000575,17,MMR,Myanmar,38436,276,74,1398,3.458527598833724E8,3.3352291416327435E8,3.277672484120139E8,3.135119821795136E8,3.029110216690167E8,2.918438238732911E8,2.8569394446773714E8,2.8121682398957336E8,2.7012255119290805E8,2.6542272718441093E8,2.5707273136943817E8,2.4853018544996127E8,2.4730150766064456E8,2.4572435872196624E8,2.3469678270220137E8,2.2273416983304423E8,2.1121250752297175E8,2.003633570120077E8,1.9758231253915948E8,1.953215634073403E8,1.951875460465634E8,1.9440608616691947E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d21,17,MMR,Myanmar,38436,276,74,3395,13825.287994025733,13825.287994025733,13825.287994025733,10389.158294318702,10389.158294318702,9530.12643396714,9530.12643396714,9530.12643396714,6953.03774988511,6094.003631232767,6094.003631232767,6094.003631232767,5234.979827521829,5234.979827521829,4375.95718347886,2657.910735724954,2657.910735724954,1798.8857723460478,939.8642879710478,939.8642879710478,939.8642879710478,939.8642879710478,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b8,17,MMR,Myanmar,40236,276,69,1465,482789.7705475452,453488.708711512,420231.30862606276,331063.7356816311,318592.8640995998,305290.6604252834,275367.7292729397,257912.85024461936,235262.70588905487,223623.8152030197,210317.26594764862,167610.88654856963,164287.63941722197,161790.23267894072,143196.0145251704,139870.6349475337,132389.68450808057,109737.20513054343,105580.17571159812,105580.17571159812,105580.17571159812,105580.17571159812,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000625,17,MMR,Myanmar,42036,276,64,1574,5.515353249076538E9,5.457178426743499E9,5.42020666839179E9,5.387193562833023E9,5.34839836641642E9,5.286740852283382E9,5.246294962150933E9,5.149836249065453E9,5.073339273906103E9,5.050319768411932E9,5.011711476110117E9,4.987356227663999E9,4.976607422082966E9,4.965366854810421E9,4.905301076438692E9,4.882564349719821E9,4.86748708198454E9,4.8534870465472975E9,4.833841394506998E9,4.82496448441793E9,4.823899067308616E9,4.81783984119625E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000058d,17,MMR,Myanmar,39516,276,71,1422,4.272680571515827E7,3.801243202668267E7,3.513215557652373E7,3.307502565101773E7,3.1516968085681867E7,2.6693542368834488E7,2.3305841057425465E7,2.217815852956998E7,2.009683259728358E7,1.9198165232633702E7,1.8949753938505284E7,1.747750296133411E7,1.5882532960561238E7,1.5426822343495805E7,1.465747544335459E7,1.3852889541322717E7,1.2085620527286544E7,1.164853219141008E7,1.1246014574161544E7,1.1191587689236987E7,1.1190742089505542E7,1.1178065108853687E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005dc,17,MMR,Myanmar,41316,276,66,1501,4.1761771402803903E9,4.0853173992185216E9,4.0569740070990424E9,4.027047860995478E9,3.940091343199155E9,3.872093040704419E9,3.8279477643709497E9,3.786832334864348E9,3.6855561917591653E9,3.652257337179514E9,3.617632419500693E9,3.55010763796544E9,3.501279385181349E9,3.4373135458048496E9,3.3090040153259344E9,3.240096271491267E9,3.1923382799792595E9,3.160932500569113E9,3.138287246922889E9,3.1290025705030394E9,3.1286801630379243E9,3.127668030255294E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000574,17,MMR,Myanmar,38796,276,73,1397,7539817.020457548,6704309.432077684,6335528.4469702635,5340165.567301193,5034866.530787808,4084983.121399883,3676347.690274347,3538432.4844049197,3101701.881384517,2978759.3507448686,2863195.0529019227,2528395.9722773535,2475492.6167475684,2367670.801900228,2009613.1123745786,1856193.0834798177,1693860.5699910482,1077504.9876546224,1047600.4788655599,1037346.1436604818,1033925.1423787435,1033071.3325642904,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c6,17,MMR,Myanmar,40596,276,68,1479,579987.9706660252,533038.9701851639,526425.2693184647,450467.1769186581,420666.8219992245,393343.10178438073,357744.4037252987,331258.5555197323,284273.5248875038,261085.18901103898,237065.62919658585,213044.93486064835,194831.8174900429,179114.88102764054,165050.77092021867,150155.89274639054,142707.2305759804,111486.7227098652,101532.0279466816,99877.00615713082,98221.70555898629,98221.70555898629,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000087e,17,MMR,Myanmar,42396,276,63,2208,1.0318392154599746E8,1.0317194704537778E8,1.031556816739037E8,1.0314221640608671E8,1.0308363896023998E8,1.0298305253555736E8,1.0279915798531513E8,1.013429979252362E8,1.009133885579599E8,1.0084591943316887E8,1.0064946518160947E8,1.0052610131676714E8,1.0051731650426714E8,1.0051492083812945E8,1.0006499776248032E8,1.000530226145311E8,1.000426440320726E8,1.0001300738041964E8,1.000119145367977E8,1.000119145367977E8,1.000119145367977E8,1.000119145367977E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000809,17,MMR,Myanmar,38076,276,75,2091,4528148.196558099,4465138.960514565,4347941.835319013,3753572.5504045095,3205256.1317469007,2540006.1552715246,2141980.7936640736,1806495.288818601,1433297.3440245404,1317146.3681743562,1256932.7386623023,1163309.1497484408,1159867.8556200229,1159007.5758959018,1033412.6654967078,985532.7283076278,846168.176793956,767243.0960516247,690274.5458139465,607222.6601234593,606362.4074989476,539259.4661537327,"{""type"":""MultiPoint"",""coordinates"":[]}"
