"area_cont","area_ctry","area_name","area_code","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"America","Dominica","Dominica","DMA","glm",44,91,85,50,73,85,85,69,69,9991,9870
"America","Dominica","Dominica","DMA","rf",88,93,86,50,75,86,86,72,72,9991,9870
"America","Dominican Rep.","Dominican Rep.","DOM","icar",24,80,73,50,57,73,73,45,45,9994,9995
"America","Dominican Rep.","Dominican Rep.","DOM","glm",18,78,71,50,55,71,71,41,41,9994,9995
"America","Dominican Rep.","Dominican Rep.","DOM","rf",79,79,72,50,56,72,72,44,44,9994,9995
"America","Ecuador","Ecuador","ECU","icar",51,92,84,50,73,84,84,69,69,14901,14903
"America","Ecuador","Ecuador","ECU","glm",47,91,84,50,72,84,83,67,67,14901,14903
"America","Ecuador","Ecuador","ECU","rf",87,92,84,50,73,84,84,69,69,14901,14903
"America","El Salvador","El Salvador","SLV","icar",26,82,74,50,59,74,74,48,48,9965,9984
"America","El Salvador","El Salvador","SLV","glm",20,80,72,50,56,72,72,44,44,9965,9984
"America","El Salvador","El Salvador","SLV","rf",81,82,74,50,59,74,74,48,48,9965,9984
"America","French Guiana","French Guiana","GUF","icar",68,96,91,50,84,91,91,82,82,10000,9996
"America","French Guiana","French Guiana","GUF","glm",56,95,89,50,79,89,89,77,77,10000,9996
"America","French Guiana","French Guiana","GUF","rf",94,97,93,50,87,93,93,86,86,10000,9996
"America","Grenada","Grenada","GRD","icar",44,91,83,50,71,83,83,66,66,9984,9923
"America","Grenada","Grenada","GRD","glm",45,90,83,50,70,83,83,65,65,9984,9923
"America","Grenada","Grenada","GRD","rf",86,90,83,50,70,83,82,65,65,9984,9923
"America","Guadeloupe","Guadeloupe","GLP","icar",43,90,81,50,69,81,81,63,63,9972,9926
"America","Guadeloupe","Guadeloupe","GLP","glm",40,89,81,50,67,80,81,61,61,9972,9926
"America","Guadeloupe","Guadeloupe","GLP","rf",87,91,83,50,71,83,83,67,67,9972,9926
"America","Guatemala","Guatemala","GTM","icar",24,79,72,50,56,72,72,44,44,9999,9999
"America","Guatemala","Guatemala","GTM","glm",15,75,68,50,52,68,68,37,37,9999,9999
"America","Guatemala","Guatemala","GTM","rf",80,81,74,50,58,73,74,47,47,9999,9999
"America","Guyana","Guyana","GUY","icar",61,95,89,50,80,89,89,77,77,18489,18488
"America","Guyana","Guyana","GUY","glm",47,93,87,50,77,87,87,74,74,18489,18488
"America","Guyana","Guyana","GUY","rf",91,96,90,50,82,90,90,80,80,18489,18488
"America","Haiti","Haiti","HTI","icar",22,80,72,50,56,72,72,44,44,9959,9969
"America","Haiti","Haiti","HTI","glm",9,71,65,50,48,65,65,31,31,9959,9969
"America","Haiti","Haiti","HTI","rf",76,72,65,50,49,66,65,31,31,9959,9969
"America","Honduras","Honduras","HND","icar",25,80,72,50,56,72,72,44,44,9998,10000
"America","Honduras","Honduras","HND","glm",10,72,66,50,49,66,66,32,32,9998,10000
"America","Honduras","Honduras","HND","rf",79,78,70,50,54,70,71,41,41,9998,10000
"America","Jamaica","Jamaica","JAM","icar",30,85,77,50,62,76,77,53,53,9998,9987
"America","Jamaica","Jamaica","JAM","glm",22,81,73,50,58,73,73,46,46,9998,9987
"America","Jamaica","Jamaica","JAM","rf",81,83,76,50,60,75,76,51,51,9998,9987
"America","Martinique","Martinique","MTQ","icar",32,86,78,50,64,78,78,57,57,9985,9968
"America","Martinique","Martinique","MTQ","glm",29,85,77,50,63,77,77,54,54,9985,9968
"America","Martinique","Martinique","MTQ","rf",81,84,76,50,61,75,76,51,51,9985,9968
"America","Mexico","Mexico","MEX","icar",25,80,72,50,56,72,72,44,44,9991,9994
"America","Mexico","Mexico","MEX","glm",12,73,67,50,50,67,67,34,34,9991,9994
"America","Mexico","Mexico","MEX","rf",78,77,70,50,54,70,70,40,40,9991,9994
"America","Montserrat","Montserrat","MSR","icar",33,91,92,87,27,43,96,38,38,9989,790
"America","Montserrat","Montserrat","MSR","glm",33,90,92,87,28,43,96,39,39,9989,790
"America","Montserrat","Montserrat","MSR","rf",85,92,92,86,28,44,96,40,40,9989,790
"America","Nicaragua","Nicaragua","NIC","icar",30,83,75,50,60,75,75,50,50,9998,10000
"America","Nicaragua","Nicaragua","NIC","glm",16,74,68,50,52,68,68,36,36,9998,10000
"America","Nicaragua","Nicaragua","NIC","rf",80,80,72,50,56,72,72,44,44,9998,10000
"America","Panama","Panama","PAN","icar",48,91,84,50,72,84,84,67,67,9994,9992
"America","Panama","Panama","PAN","glm",41,90,82,50,69,82,82,63,63,9994,9992
"America","Panama","Panama","PAN","rf",86,90,82,50,70,82,82,65,65,9994,9992
"America","Paraguay","Paraguay","PRY","icar",21,77,70,50,54,70,70,40,40,10000,10000
"America","Paraguay","Paraguay","PRY","glm",8,70,65,50,48,65,65,29,29,10000,10000
"America","Paraguay","Paraguay","PRY","rf",76,72,66,50,49,66,66,32,32,10000,10000
"America","Peru","Peru","PER","icar",60,95,88,50,78,88,88,76,76,50000,50000
"America","Peru","Peru","PER","glm",49,92,85,50,74,85,85,71,71,50000,50000
"America","Peru","Peru","PER","rf",90,95,89,50,80,89,89,78,78,50000,50000
"America","Puerto Rico","Puerto Rico","PRI","icar",20,79,71,50,55,71,71,42,42,9995,9976
"America","Puerto Rico","Puerto Rico","PRI","glm",13,74,66,50,49,66,66,32,32,9995,9976
"America","Puerto Rico","Puerto Rico","PRI","rf",78,76,70,50,53,70,70,40,40,9995,9976
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","icar",33,87,81,60,49,65,87,52,52,9978,3800
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","glm",30,85,78,60,43,60,85,45,45,9978,3800
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","rf",86,91,84,60,56,72,89,61,61,9978,3800
"America","Saint Lucia","Saint Lucia","LCA","icar",40,89,81,50,68,81,81,63,63,9995,9968
"America","Saint Lucia","Saint Lucia","LCA","glm",35,87,78,50,64,78,79,57,57,9995,9968
"America","Saint Lucia","Saint Lucia","LCA","rf",86,90,82,50,70,82,82,65,65,9995,9968
"America","Saint Martin","Saint Martin","MAF","icar",13,77,71,51,50,66,74,41,41,3533,2683
"America","Saint Martin","Saint Martin","MAF","glm",14,75,69,51,48,65,73,38,38,3533,2683
"America","Saint Martin","Saint Martin","MAF","rf",67,73,67,51,44,61,71,32,32,3533,2683
"America","Saint Vincent","Saint Vincent","VCT","icar",49,92,85,50,74,85,85,70,70,9978,9781
"America","Saint Vincent","Saint Vincent","VCT","glm",46,91,84,50,73,84,85,69,69,9978,9781
"America","Saint Vincent","Saint Vincent","VCT","rf",89,93,86,50,76,86,87,73,73,9978,9781
"America","Sint Maarten","Sint Maarten","SXM","icar",27,82,73,50,56,72,75,46,46,1292,1106
"America","Sint Maarten","Sint Maarten","SXM","glm",20,78,71,50,52,69,72,41,41,1292,1106
"America","Sint Maarten","Sint Maarten","SXM","rf",81,87,79,50,63,77,81,58,58,1292,1106
"America","Suriname","Suriname","SUR","icar",57,94,87,50,77,87,87,73,73,13727,13726
"America","Suriname","Suriname","SUR","glm",39,89,82,50,69,82,82,64,64,13727,13726
"America","Suriname","Suriname","SUR","rf",90,95,88,50,79,88,88,77,77,13727,13726
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","icar",42,90,82,50,69,82,82,64,64,9992,9976
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","glm",40,89,82,50,69,82,82,64,64,9992,9976
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","rf",86,91,83,50,70,83,83,65,65,9992,9976
"America","Venezuela","Venezuela","VEN","icar",62,95,89,50,80,89,89,78,78,42913,42910
"America","Venezuela","Venezuela","VEN","glm",53,94,88,50,78,88,88,75,75,42913,42910
"America","Venezuela","Venezuela","VEN","rf",91,95,89,50,81,89,89,79,79,42913,42910
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","icar",39,89,82,50,69,81,82,63,63,9905,9776
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","glm",27,84,77,50,62,76,77,53,53,9905,9776
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","rf",80,85,76,50,62,76,76,53,53,9905,9776
"America","Virgin Isl. US","Virgin Isl. US","VIR","icar",17,79,72,50,55,71,72,43,43,9914,9834
"America","Virgin Isl. US","Virgin Isl. US","VIR","glm",11,74,68,50,51,68,68,36,36,9914,9834
"America","Virgin Isl. US","Virgin Isl. US","VIR","rf",47,73,67,50,50,67,67,34,34,9914,9834
"Africa","Angola","Angola","AGO","icar",30,83,75,50,59,75,75,49,49,9999,10000
"Africa","Angola","Angola","AGO","glm",17,79,72,50,57,72,72,45,45,9999,10000
"Africa","Angola","Angola","AGO","rf",81,83,75,50,60,75,75,50,50,9999,10000
"Africa","Benin","Benin","BEN","icar",26,81,72,50,56,72,72,44,44,9978,9997
"Africa","Benin","Benin","BEN","glm",13,74,68,50,51,68,68,36,36,9978,9997
"Africa","Benin","Benin","BEN","rf",29,72,66,50,49,66,66,32,32,9978,9997
"Africa","Burundi","Burundi","BDI","icar",49,92,85,50,74,85,85,71,71,10000,10000
"Africa","Burundi","Burundi","BDI","glm",46,91,84,50,72,84,84,68,68,10000,10000
"Africa","Burundi","Burundi","BDI","rf",89,93,86,50,75,86,86,71,71,10000,10000
"Africa","Cameroon","Cameroon","CMR","icar",50,92,84,50,72,84,84,68,68,23543,23541
"Africa","Cameroon","Cameroon","CMR","glm",36,88,79,50,66,80,79,59,59,23543,23541
"Africa","Cameroon","Cameroon","CMR","rf",85,90,82,50,69,82,82,63,63,23543,23541
"Africa","CAR","CAR","CAF","icar",41,89,81,50,68,81,81,62,62,10000,10000
"Africa","CAR","CAR","CAF","glm",29,86,79,50,65,79,79,57,57,10000,10000
"Africa","CAR","CAR","CAF","rf",84,88,80,50,67,80,80,60,60,10000,10000
"Africa","Comoros","Comoros","COM","icar",42,89,81,50,68,81,81,62,62,9993,9962
"Africa","Comoros","Comoros","COM","glm",35,85,78,50,63,78,78,55,55,9993,9962
"Africa","Comoros","Comoros","COM","rf",77,83,75,50,59,75,75,49,49,9993,9962
"Africa","Congo","Congo","COG","icar",59,94,88,50,78,88,88,76,76,23945,23943
"Africa","Congo","Congo","COG","glm",47,93,87,50,77,87,87,74,74,23945,23943
"Africa","Congo","Congo","COG","rf",91,96,90,50,82,90,90,80,80,23945,23943
"Africa","DRC","DRC","COD","icar",56,93,86,50,75,86,86,71,71,50000,50000
"Africa","DRC","DRC","COD","glm",47,91,84,50,72,84,84,68,68,50000,50000
"Africa","DRC","DRC","COD","rf",87,91,83,50,71,83,83,67,67,50000,50000
"Africa","Eq. Guinea","Eq. Guinea","GNQ","icar",54,94,87,50,77,87,87,74,74,9998,9985
"Africa","Eq. Guinea","Eq. Guinea","GNQ","glm",46,92,86,50,75,86,86,71,71,9998,9985
"Africa","Eq. Guinea","Eq. Guinea","GNQ","rf",92,97,91,50,83,91,91,82,82,9998,9985
"Africa","Ethiopia","Ethiopia","ETH","icar",34,85,77,50,63,77,77,55,55,10000,10000
"Africa","Ethiopia","Ethiopia","ETH","glm",25,83,75,50,60,75,75,50,50,10000,10000
"Africa","Ethiopia","Ethiopia","ETH","rf",82,85,77,50,62,77,77,54,54,10000,10000
"Africa","Gabon","Gabon","GAB","icar",67,96,90,50,82,90,90,81,81,24096,24077
"Africa","Gabon","Gabon","GAB","glm",45,92,85,50,74,85,85,70,70,24096,24077
"Africa","Gabon","Gabon","GAB","rf",93,97,92,50,85,92,92,84,84,24096,24077
"Africa","Gambia","Gambia","GMB","icar",12,73,67,50,51,67,68,35,35,9979,9996
"Africa","Gambia","Gambia","GMB","glm",7,70,65,50,48,65,65,30,30,9979,9996
"Africa","Gambia","Gambia","GMB","rf",76,72,66,50,50,66,66,33,33,9979,9996
"Africa","Ghana","Ghana","GHA","icar",24,80,72,50,56,72,72,44,44,10000,10000
"Africa","Ghana","Ghana","GHA","glm",16,76,69,50,53,69,69,39,39,10000,10000
"Africa","Ghana","Ghana","GHA","rf",77,76,69,50,52,69,69,38,38,10000,10000
"Africa","Guinea","Guinea","GIN","icar",24,80,72,50,57,72,73,45,45,9976,9999
"Africa","Guinea","Guinea","GIN","glm",19,79,72,50,56,71,72,43,43,9976,9999
"Africa","Guinea","Guinea","GIN","rf",79,78,71,50,55,71,71,42,42,9976,9999
"Africa","Guinea Bissau","Guinea Bissau","GNB","icar",32,86,79,50,65,79,79,58,58,9874,9969
"Africa","Guinea Bissau","Guinea Bissau","GNB","glm",23,83,76,50,61,76,76,52,52,9874,9969
"Africa","Guinea Bissau","Guinea Bissau","GNB","rf",82,83,75,50,61,76,75,51,51,9874,9969
"Africa","Ivory Coast","Ivory Coast","CIV","icar",24,79,71,50,55,71,71,42,42,10000,9999
"Africa","Ivory Coast","Ivory Coast","CIV","glm",8,67,62,50,45,62,62,25,25,10000,9999
"Africa","Ivory Coast","Ivory Coast","CIV","rf",75,67,62,50,44,61,62,23,23,10000,9999
"Africa","Kenya","Kenya","KEN","icar",42,89,80,50,67,80,80,61,61,9989,9998
"Africa","Kenya","Kenya","KEN","glm",27,83,75,50,60,75,75,50,50,9989,9998
"Africa","Kenya","Kenya","KEN","rf",84,88,80,50,66,80,80,60,60,9989,9998
"Africa","Liberia","Liberia","LBR","icar",41,88,80,50,67,80,80,60,60,10000,9997
"Africa","Liberia","Liberia","LBR","glm",35,87,78,50,64,78,78,56,56,10000,9997
"Africa","Liberia","Liberia","LBR","rf",83,85,77,50,62,77,77,54,54,10000,9997
"Africa","Madagascar","Madagascar","MDG","icar",34,85,77,50,62,77,77,54,54,9991,9996
"Africa","Madagascar","Madagascar","MDG","glm",25,82,74,50,59,74,74,48,48,9991,9996
"Africa","Madagascar","Madagascar","MDG","rf",81,83,74,50,59,74,75,49,49,9991,9996
"Africa","Malawi","Malawi","MWI","icar",47,91,83,50,71,83,83,67,67,10000,10000
"Africa","Malawi","Malawi","MWI","glm",21,80,73,50,57,73,73,46,46,10000,10000
"Africa","Malawi","Malawi","MWI","rf",88,93,85,50,75,85,86,71,71,10000,10000
"Africa","Mauritius","Mauritius","MUS","icar",33,86,78,50,64,78,78,57,57,9972,9952
"Africa","Mauritius","Mauritius","MUS","glm",32,86,78,50,64,78,78,56,56,9972,9952
"Africa","Mauritius","Mauritius","MUS","rf",84,88,80,50,67,80,80,60,60,9972,9952
"Africa","Mayotte","Mayotte","MYT","icar",21,80,72,50,56,72,72,44,44,9975,9973
"Africa","Mayotte","Mayotte","MYT","glm",20,79,71,50,55,71,71,42,42,9975,9973
"Africa","Mayotte","Mayotte","MYT","rf",79,79,71,50,55,71,71,42,42,9975,9973
"Africa","Nigeria","Nigeria","NGA","icar",36,86,77,50,63,77,78,55,55,9979,9997
"Africa","Nigeria","Nigeria","NGA","glm",18,79,72,50,56,72,72,43,43,9979,9997
"Africa","Nigeria","Nigeria","NGA","rf",77,78,70,50,54,70,71,41,41,9979,9997
"Africa","Reunion","Reunion","REU","icar",34,86,78,50,64,78,78,56,56,9996,9983
