"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110","C2120","C2130","C2140","C2150"
"Asia","Laos","Laos","LAO",125523902,96733280,149545008,203802827,315907980,373796817,432965963,555619239,685466688,754451655,827806851,934281575,934281575,934281575,934281575,934281575,934281575
"Asia","Malaysia","Malaysia","MYS",210968368,127955733,202639508,284224630,467608601,569228121,676257587,905105423,1152686563,1282708639,1416032583,1690503830,1972408007,2258592673,2544499280,2837580504,2961606869
"Asia","Myanmar","Myanmar","MMR",166454035,92771603,146901093,204573624,327138991,391340736,457076276,592558224,733006760,805093248,878544153,1029655723,1186612452,1349409656,1519465248,1697323914,1825637933
"Asia","New Caledonia","New Caledonia","NCL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Papua New Guinea","Papua New Guinea","PNG",44714462,35833275,49174140,62348012,89388170,103014899,116637369,144074624,171509916,185231647,199030980,226770667,254697444,282907347,311563872,340687966,370245704
"Asia","Philippines","Philippines","PHL",58391022,27592190,43638576,60271349,95235224,113321376,131672270,168759967,206349960,225311021,244395908,282939600,322169552,362283416,403473317,445943676,489921269
"Asia","Singapore","Singapore","SGP",19145,7091,13164,20044,35883,44646,53975,74257,96946,109365,122337,150212,180257,211447,243622,277435,315035
"Asia","Solomon Isl.","Solomon Isl.","SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Sri Lanka","Sri Lanka","LKA",5628815,2356400,3626231,5053842,8442491,10289858,12198129,16159746,20337361,22479013,24659165,29086581,33617808,38226956,42913704,47677895,52532649
"Asia","Thailand","Thailand","THA",39142014,22570327,35310043,48598580,76413473,90811532,105478074,135615174,166628720,182459269,198503624,231148563,264562740,298725991,333660453,369410547,406098367
"Asia","Timor-Leste","Timor-Leste","TLS",750371,266041,391621,524855,794779,934568,1076513,1362721,1651313,1793752,1935818,2223109,2513990,2802594,3092381,3384232,3675266
"Asia","Vanuatu","Vanuatu","VUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Vietnam","Vietnam","VNM",71021368,53082323,78432854,104925044,160563329,189599546,219352066,280744219,344691035,377722887,411543221,482269548,558774055,644278721,672766277,672766277,672766277
