"cont","iso3","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"Brazil","BRA-AM",-4,-0.558,-0.0759,NA,-2.71,-4.65,-0.196,-0.721,-0.472,12.4
"Brazil","BRA-AP",-5.8,-0.157,-0.638,NA,-2.43,-9.69,NA,-0.293,-0.377,6.29
"Brazil","BRA-BA",1.32,-0.171,-0.381,-0.174,-0.645,-1.24,NA,-0.0497,-0.019,3.71
"Brazil","BRA-CE",1.1,-0.654,-1.01,NA,-0.0577,-1.68,NA,NA,NA,12.6
"Brazil","BRA-ES",-1.23,-0.0558,-0.973,-0.00704,-0.638,-0.996,-0.0118,-0.0684,-0.00818,2.78
"Brazil","BRA-GO",0.0156,NA,NA,NA,-0.571,-0.529,-0.112,NA,-0.023,3.92
"Brazil","BRA-MA",-2.07,-0.0555,NA,-0.0991,-3.69,-4.63,NA,NA,-0.133,3.27
"Brazil","BRA-MG",0.228,-0.113,-0.444,NA,-0.504,-0.571,NA,-0.0691,-0.0317,3.73
"Brazil","BRA-MS",-0.249,NA,-0.229,NA,-0.294,-1.28,NA,NA,NA,3.43
"Brazil","BRA-MT",-0.438,-0.477,NA,NA,-0.995,-1.14,NA,-0.252,-0.291,9.68
"Brazil","BRA-PA",-1.47,-0.992,NA,-0.0448,-1.52,-2.53,NA,-0.544,-0.446,7.14
"Brazil","BRA-PB",2.36,-0.453,NA,NA,-0.707,-1.31,NA,NA,-0.174,4.06
"Brazil","BRA-PE",3.71,-0.405,-0.513,-0.0933,-0.596,-2.14,NA,-0.148,-0.0755,3.35
"Brazil","BRA-PI",0.0333,-0.144,NA,NA,-0.448,-0.789,-0.0521,-0.0413,-0.00192,3.46
"Brazil","BRA-PR",-0.857,-0.206,NA,-0.239,-0.858,-2.57,-0.0282,NA,NA,2.91
"Brazil","BRA-RJ",-0.46,-0.205,-0.177,NA,-1.07,-3.01,-0.0561,-0.0995,-0.00967,2.4
"Brazil","BRA-RN",1.12,-0.301,NA,NA,-1.11,-0.657,NA,-0.0943,NA,17.1
"Brazil","BRA-RO",-0.882,-1.34,NA,-0.0856,-0.662,-1.84,NA,-0.24,-0.31,7.12
"Brazil","BRA-RR",-1.61,-0.67,-0.445,NA,-1.55,-2.8,NA,NA,-0.989,7.84
"Brazil","BRA-RS",0.0716,-0.143,-0.0753,-0.525,-0.551,-1.5,NA,NA,NA,1.73
"Brazil","BRA-SC",-0.69,-0.232,NA,-0.479,-0.688,-1.45,NA,NA,NA,2.1
"Brazil","BRA-SE",0.682,NA,NA,NA,-0.797,-1.07,-0.0454,NA,NA,3.84
"Brazil","BRA-SP",-0.7,-0.185,-0.177,-0.232,-1.19,-2.76,NA,-0.095,-0.0151,3.96
"Brazil","BRA-TO",-0.309,NA,NA,NA,-0.394,-0.204,-0.139,0.00998,NA,4.63
