"cont","year","fc","perc"
"Asia",2140,38666167,87.6385589322764
"Africa",2141,74453950,73.2038913976102
"America",2141,315627621,55.3408298858957
"Asia",2141,38554811,87.6741590638213
"Africa",2142,73413309,73.5784199384344
"America",2142,313174100,55.6879864857217
"Asia",2142,38443455,87.7097591953662
"Africa",2143,72372668,73.9529484792586
"America",2143,310725342,56.0344691533152
"Asia",2143,38332099,87.7453593269111
"Africa",2144,71332027,74.3274770200829
"America",2144,308289593,56.3791111355398
"Asia",2144,38220743,87.780959458456
"Africa",2145,70291386,74.7020055609071
"America",2145,305853844,56.7237531177643
"Asia",2145,38109387,87.8165595900009
"Africa",2146,69250745,75.0765341017313
"America",2146,303419619,57.0681794643134
"Asia",2146,37998031,87.8521597215458
"Africa",2147,68210104,75.4510626425555
"America",2147,300987357,57.412328059661
"Asia",2147,37886675,87.8877598530907
"Africa",2148,67169463,75.8255911833797
"America",2148,298555095,57.7564766550087
"Asia",2148,37775319,87.9233599846356
"Africa",2149,66128822,76.200119724204
"America",2149,296122833,58.1006252503563
"Asia",2149,37663963,87.9589601161805
"Africa",2150,65088181,76.5746482650282
"America",2150,293690571,58.444773845704
"Asia",2150,37552607,87.9945602477255
"Africa",2151,64047540,76.9491768058524
"America",2151,291258309,58.7889224410517
"Asia",2151,37441251,88.0301603792704
"Africa",2152,63006899,77.3237053466766
"America",2152,288826047,59.1330710363993
"Asia",2152,37329895,88.0657605108153
"Africa",2153,61966258,77.6982338875008
"America",2153,286393785,59.477219631747
"Asia",2153,37218539,88.1013606423602
"Africa",2154,60925617,78.0727624283251
"America",2154,283961523,59.8213682270946
"Asia",2154,37107183,88.1369607739051
"Africa",2155,59884976,78.4472909691493
"America",2155,281529261,60.1655168224423
"Asia",2155,36995827,88.17256090545
"Africa",2156,58844335,78.8218195099735
"America",2156,279096999,60.5096654177899
"Asia",2156,36884471,88.2081610369949
"Africa",2157,57803694,79.1963480507977
"America",2157,276664737,60.8538140131376
"Asia",2157,36773115,88.2437611685398
"Africa",2158,56763053,79.570876591622
"America",2158,274232475,61.1979626084852
"Asia",2158,36661759,88.2793613000847
"Africa",2159,55722412,79.9454051324462
"America",2159,271800213,61.5421112038329
"Asia",2159,36550403,88.3149614316296
"Africa",2160,54681771,80.3199336732704
"America",2160,269367951,61.8862597991805
"Asia",2160,36439047,88.3505615631746
"Africa",2161,53876550,80.6097341387249
"America",2161,266935689,62.2304083945282
"Asia",2161,36327691,88.3861616947195
"Africa",2162,53675252,80.6821816458007
"America",2162,264503427,62.5745569898758
"Asia",2162,36216335,88.4217618262644
"Africa",2163,53473954,80.7546291528764
"America",2163,262131112,62.9102234908417
"Asia",2163,36104979,88.4573619578093
"Africa",2164,53272656,80.8270766599522
"America",2164,259912751,63.2241065437875
"Asia",2164,35993623,88.4929620893542
"Africa",2165,53071358,80.8995241670279
"America",2165,257694521,63.5379710611207
"Asia",2165,35882267,88.5285622208991
"Africa",2166,52870060,80.9719716741037
"America",2166,255476291,63.851835578454
"Asia",2166,35770911,88.564162352444
"Africa",2167,52668762,81.0444191811795
"America",2167,253258061,64.1657000957872
"Asia",2167,35659555,88.5997624839889
"Africa",2168,52467464,81.1168666882553
"America",2168,251039831,64.4795646131205
"Asia",2168,35559812,88.6316499792355
"Africa",2169,52266166,81.189314195331
"America",2169,248821601,64.7934291304537
"Asia",2169,35461626,88.6630397069186
"Africa",2170,52064868,81.2617617024068
"America",2170,246603371,65.107293647787
"Asia",2170,35363440,88.6944294346016
"Africa",2171,51863570,81.3342092094826
"America",2171,244385332,65.4211311399142
"Asia",2171,35265254,88.7258191622846
"Africa",2172,51662272,81.4066567165583
"America",2172,242167412,65.7349517943476
"Asia",2172,35167068,88.7572088899676
"Africa",2173,51460974,81.4791042236341
"America",2173,239949492,66.048772448781
"Asia",2173,35068882,88.7885986176506
"Africa",2174,51259676,81.5515517307099
"America",2174,237731572,66.3625931032144
"Asia",2174,34970696,88.8199883453336
