"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"Asia","India","India – North-East","NE",7278123,6641155,6052815,5706312,5537158,9791,65405,46215,84595,46215,0.8,5075008,4843933,4612858,4150708,3919633,3688558,3226408,2764258,2533183,2302108,1839958,2139
"Asia","India","India – West. Ghats","WG",3159068,2930478,2722878,2460868,2200503,8617,54280,37390,71170,37390,1.5,1826603,1639653,1452703,1078803,891853,704903,331003,0,0,0,0,2078
"Asia","Indonesia","Indonesia","IDN",141244075,134714299,127698859,121333147,116317384,144519,1215436,932180,1498693,932180,0.8,106995584,102334684,97673784,88351984,83691084,79030184,69708384,60386584,55725684,51064784,41742984,2144
"Asia","Laos","Laos","LAO",11937411,10843570,9861627,9039429,8253784,12893,163537,138267,188807,138267,1.5,6871114,6179779,5488444,4105774,3414439,2723104,1340434,0,0,0,0,2079
"Asia","Malaysia","Malaysia","MYS",25988566,24250563,22531945,20991138,20114506,25448,269268,219391,319146,219391,1,17920596,16823641,15726686,13532776,12435821,11338866,9144956,6951046,5854091,4757136,2563226,2111
"Asia","Myanmar","Myanmar","MMR",18734733,17092800,15639449,14431336,13647894,22143,219704,176304,263105,176304,1.2,11884854,11003334,10121814,8358774,7477254,6595734,4832694,3069654,2188134,1306614,0,2097
"Asia","New Caledonia","New Caledonia","NCL",905048,896387,882999,868974,852688,449,3246,2365,4126,2365,0.3,829038,817213,805388,781738,769913,758088,734438,710788,698963,687138,663488,2380
"Asia","Papua New Guinea","Papua New Guinea","PNG",40631911,40122267,39910047,39631637,39233011,13769,67637,40650,94624,40650,0.1,38826511,38623261,38420011,38013511,37810261,37607011,37200511,36794011,36590761,36387511,35981011,2985
"Asia","Philippines","Philippines","PHL",14960306,14316496,13822210,13271615,12707264,24654,104898,56575,153220,56575,0.4,12141514,11858639,11575764,11010014,10727139,10444264,9878514,9312764,9029889,8747014,8181264,2244
"Asia","Singapore","Singapore","SGP",16809,15833,15303,14468,13571,34,173,107,239,107,0.7,12501,11966,11431,10361,9826,9291,8221,7151,6616,6081,5011,2146
"Asia","Solomon Isl.","Solomon Isl.","SLB",2762933,2761361,2759216,2753056,2738168,464,1872,962,2781,962,0,2728548,2723738,2718928,2709308,2704498,2699688,2690068,2680448,2675638,2670828,2661208,4866
"Asia","Sri Lanka","Sri Lanka","LKA",2114328,1895920,1752648,1646654,1575628,3767,21152,13767,28536,13767,0.8,1437958,1369123,1300288,1162618,1093783,1024948,887278,749608,680773,611938,474268,2134
"Asia","Thailand","Thailand","THA",7316752,6836910,6409676,6100640,5811122,9981,60742,41180,80305,41180,0.7,5399322,5193422,4987522,4575722,4369822,4163922,3752122,3340322,3134422,2928522,2516722,2161
"Asia","Timor-Leste","Timor-Leste","TLS",133922,105710,89910,81292,75244,600,1957,781,3134,781,0.9,67434,63529,59624,51814,47909,44004,36194,28384,24479,20574,12764,2116
"Asia","Vanuatu","Vanuatu","VUT",1158704,1158364,1158339,1157298,1149824,246,700,217,1183,217,0,1147654,1146569,1145484,1143314,1142229,1141144,1138974,1136804,1135719,1134634,1132464,7318
"Asia","Vietnam","Vietnam","VNM",11003880,9856135,8814250,8090450,7528100,13314,134541,108445,160637,108445,1.3,6443650,5901425,5359200,4274750,3732525,3190300,2105850,1021400,479175,0,0,2089
