area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,yrdis,id_cont,id_d
America,Brazil,Brazil – Roraima,RR,mean,16747771,16439654,16250552,16095866,15523023,21985,60430,17340,103521,60430,0.4,14918723,14616573,14314423,13668368,13328507,12958941,12203046,11422344,11015381,10565994,9598654,2150,1,2
America,Brazil,Brazil – Roraima,RR,high,16747771,16439654,16250552,16095866,15523023,21985,60430,17340,103521,103521,0.7,14487813,13969960,13426431,12258420,11639520,11005007,9658281,8155789,7346994,6411323,3931239,2114,1,3
America,Brazil,Brazil – Santa Catarina,SC,low,2997828,2705430,2510129,2409351,2339719,2293,19692,15197,24187,15197,0.6,2187749,2111764,2035779,1883809,1805643,1714694,1527718,1305214,1186301,1062533,809435,2129,1,1
America,Brazil,Brazil – Santa Catarina,SC,mean,2997828,2705430,2510129,2409351,2339719,2293,19692,15197,24187,19692,0.8,2142799,2044339,1945879,1707203,1571032,1405156,1056641,683319,480046,234349,0,2095,1,2
America,Brazil,Brazil – Santa Catarina,SC,high,2997828,2705430,2510129,2409351,2339719,2293,19692,15197,24187,24187,1,2097849,1976666,1829806,1455136,1232906,995063,441677,0,0,0,0,2077,1,3
America,Brazil,Brazil – Sao Paulo,SP,low,3071447,2881552,2795470,2688417,2644314,2832,15838,10288,21388,10288,0.4,2541434,2489994,2438554,2335674,2282054,2215650,2077763,1904349,1809982,1710759,1506750,2144,1,1
America,Brazil,Brazil – Sao Paulo,SP,mean,3071447,2881552,2795470,2688417,2644314,2832,15838,10288,21388,15838,0.6,2485934,2406744,2327554,2127419,2010518,1863912,1553937,1219155,1035152,808725,287305,2105,1,2
America,Brazil,Brazil – Sao Paulo,SP,high,3071447,2881552,2795470,2688417,2644314,2832,15838,10288,21388,21388,0.8,2430434,2323246,2190382,1843701,1635466,1411618,886222,205060,0,0,0,2083,1,3
America,Brazil,Brazil – Sergipe,SE,low,75640,68152,62689,58368,55226,224,794,355,1232,355,0.6,51676,49901,48126,44576,40621,23881,0,0,0,0,0,2067,1,1
America,Brazil,Brazil – Sergipe,SE,mean,75640,68152,62689,58368,55226,224,794,355,1232,794,1.3,47286,43316,39346,0,0,0,0,0,0,0,0,2049,1,2
America,Brazil,Brazil – Sergipe,SE,high,75640,68152,62689,58368,55226,224,794,355,1232,1232,2.2,42906,36498,4413,0,0,0,0,0,0,0,0,2041,1,3
