"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100"
"Africa","Burundi","Burundi","BDI","low",242,97,315,648,1025,1463,1966,2546,3194
"Africa","Burundi","Burundi","BDI","mean",242,423,1308,2540,3743,4759,4759,4759,4759
"Africa","Burundi","Burundi","BDI","high",242,890,2748,4759,4759,4759,4759,4759,4759
"Africa","Cameroon","Cameroon","CMR","low",56009,34316,75791,123421,175875,231652,289742,349967,412231
"Africa","Cameroon","Cameroon","CMR","mean",56009,47310,106440,175177,249799,328339,410576,497143,588951
"Africa","Cameroon","Cameroon","CMR","high",56009,60944,139581,230150,327544,430681,541021,659478,784815
"Africa","CAR","CAR","CAF","low",24479,25905,46124,66583,87986,110000,132898,157207,183354
"Africa","CAR","CAR","CAF","mean",24479,33080,60165,88789,118595,150425,185332,224688,269054
"Africa","CAR","CAR","CAF","high",24479,39937,74677,111621,151306,195992,248045,307894,376069
"Africa","Comoros","Comoros","COM","low",132,32,74,118,172,221,269,322,384
"Africa","Comoros","Comoros","COM","mean",132,345,869,1489,2211,3045,3992,5465,5465
"Africa","Comoros","Comoros","COM","high",132,793,2004,3610,5465,5465,5465,5465,5465
"Africa","Congo","Congo","COG","low",27893,36500,60807,91332,126974,168614,211254,255154,300628
"Africa","Congo","Congo","COG","mean",27893,44217,81399,128203,184281,242727,303534,369342,440883
"Africa","Congo","Congo","COG","high",27893,52319,103770,171194,244081,321325,406699,501730,604451
"Africa","DRC","DRC","COD","low",589846,553767,1224105,1971768,2784066,3651189,4587859,5611076,6714747
"Africa","DRC","DRC","COD","mean",589846,668534,1485694,2402524,3400887,4489176,5694735,7006815,8365399
"Africa","DRC","DRC","COD","high",589846,785873,1755047,2849829,4051413,5395130,6891195,8455953,10043394
"Africa","Eq. Guinea","Eq. Guinea","GNQ","low",3425,3048,5924,8940,12006,15141,18333,21604,24914
"Africa","Eq. Guinea","Eq. Guinea","GNQ","mean",3425,3932,7908,11961,16139,20420,24810,29265,33766
"Africa","Eq. Guinea","Eq. Guinea","GNQ","high",3425,4889,9889,15047,20378,25873,31443,37108,42855
"Africa","Ethiopia","Ethiopia","ETH","low",37808,37461,81836,134137,196490,196490,196490,196490,196490
"Africa","Ethiopia","Ethiopia","ETH","mean",37808,54939,124335,196490,196490,196490,196490,196490,196490
"Africa","Ethiopia","Ethiopia","ETH","high",37808,73842,176078,196490,196490,196490,196490,196490,196490
"Africa","Gabon","Gabon","GAB","low",12364,11206,18643,25871,33245,41051,49241,57950,67085
"Africa","Gabon","Gabon","GAB","mean",12364,15061,25942,37224,49414,62717,76622,90787,105239
"Africa","Gabon","Gabon","GAB","high",12364,18714,33399,49486,67451,86172,105429,125188,145408
"Africa","Gambia","Gambia","GMB","low",14,4,9,13,17,21,25,30,35
"Africa","Gambia","Gambia","GMB","mean",14,11,21,32,44,57,70,83,98
"Africa","Gambia","Gambia","GMB","high",14,17,34,54,75,98,123,149,149
"Africa","Ghana","Ghana","GHA","low",28878,20918,41771,64940,100940,185093,185093,185093,185093
"Africa","Ghana","Ghana","GHA","mean",28878,35672,76457,185093,185093,185093,185093,185093,185093
"Africa","Ghana","Ghana","GHA","high",28878,50371,172308,185093,185093,185093,185093,185093,185093
"Africa","Guinea","Guinea","GIN","low",14144,16239,38956,53057,53057,53057,53057,53057,53057
"Africa","Guinea","Guinea","GIN","mean",14144,20165,53057,53057,53057,53057,53057,53057,53057
"Africa","Guinea","Guinea","GIN","high",14144,24592,53057,53057,53057,53057,53057,53057,53057
"Africa","Guinea Bissau","Guinea Bissau","GNB","low",734,736,1271,1744,2207,2683,3182,3599,3599
"Africa","Guinea Bissau","Guinea Bissau","GNB","mean",734,816,1394,1921,2448,2997,3599,3599,3599
"Africa","Guinea Bissau","Guinea Bissau","GNB","high",734,887,1513,2097,2692,3324,3599,3599,3599
"Africa","Ivory Coast","Ivory Coast","CIV","low",98703,73719,230698,230698,230698,230698,230698,230698,230698
"Africa","Ivory Coast","Ivory Coast","CIV","mean",98703,100147,230698,230698,230698,230698,230698,230698,230698
"Africa","Ivory Coast","Ivory Coast","CIV","high",98703,132457,230698,230698,230698,230698,230698,230698,230698
"Africa","Kenya","Kenya","KEN","low",6963,6060,12634,19799,27229,34708,42570,51638,56053
"Africa","Kenya","Kenya","KEN","mean",6963,11762,25310,39410,56053,56053,56053,56053,56053
"Africa","Kenya","Kenya","KEN","high",6963,17893,38400,56053,56053,56053,56053,56053,56053
"Africa","Liberia","Liberia","LBR","low",59882,36771,77276,130027,194176,270001,356819,452405,554702
"Africa","Liberia","Liberia","LBR","mean",59882,52576,120411,212149,327274,461249,608462,765358,929370
"Africa","Liberia","Liberia","LBR","high",59882,69909,172053,312820,486714,681576,891694,1006208,1006208
"Africa","Madagascar","Madagascar","MDG","low",91721,87703,190940,302629,427711,495034,495034,495034,495034
"Africa","Madagascar","Madagascar","MDG","mean",91721,111335,245191,393253,495034,495034,495034,495034,495034
"Africa","Madagascar","Madagascar","MDG","high",91721,136200,300761,495034,495034,495034,495034,495034,495034
"Africa","Malawi","Malawi","MWI","low",2015,1603,2397,2397,2397,2397,2397,2397,2397
"Africa","Malawi","Malawi","MWI","mean",2015,2291,2397,2397,2397,2397,2397,2397,2397
"Africa","Malawi","Malawi","MWI","high",2015,2397,2397,2397,2397,2397,2397,2397,2397
"Africa","Mauritius","Mauritius","MUS","low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa","Mauritius","Mauritius","MUS","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa","Mauritius","Mauritius","MUS","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa","Mayotte","Mayotte","MYT","low",234,57,124,196,269,339,418,491,559
"Africa","Mayotte","Mayotte","MYT","mean",234,252,527,672,672,672,672,672,672
"Africa","Mayotte","Mayotte","MYT","high",234,459,672,672,672,672,672,672,672
"Africa","Nigeria","Nigeria","NGA","low",25568,18573,39867,64459,90271,120427,156825,197279,239755
"Africa","Nigeria","Nigeria","NGA","mean",25568,28055,62845,101884,151776,211090,284663,313164,313164
"Africa","Nigeria","Nigeria","NGA","high",25568,38377,86743,149284,228205,313164,313164,313164,313164
"Africa","Reunion","Reunion","REU","low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa","Reunion","Reunion","REU","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa","Reunion","Reunion","REU","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa","Rwanda","Rwanda","RWA","low",628,401,1508,3815,6531,8095,13964,13964,13964
"Africa","Rwanda","Rwanda","RWA","mean",628,1567,6721,13964,13964,13964,13964,13964,13964
"Africa","Rwanda","Rwanda","RWA","high",628,3968,13964,13964,13964,13964,13964,13964,13964
"Africa","Senegal","Senegal","SEN","low",49,19,35,50,65,80,94,108,121
"Africa","Senegal","Senegal","SEN","mean",49,45,84,121,160,200,239,278,319
"Africa","Senegal","Senegal","SEN","high",49,70,130,195,258,323,391,462,536
"Africa","Sierra Leone","Sierra Leone","SLE","low",36638,38465,82271,82271,82271,82271,82271,82271,82271
"Africa","Sierra Leone","Sierra Leone","SLE","mean",36638,54484,82271,82271,82271,82271,82271,82271,82271
"Africa","Sierra Leone","Sierra Leone","SLE","high",36638,82271,82271,82271,82271,82271,82271,82271,82271
"Africa","South Sudan","South Sudan","SSD","low",1121,469,1414,2377,2377,2377,2377,2377,2377
"Africa","South Sudan","South Sudan","SSD","mean",1121,679,2219,2377,2377,2377,2377,2377,2377
"Africa","South Sudan","South Sudan","SSD","high",1121,999,2377,2377,2377,2377,2377,2377,2377
"Africa","Tanzania","Tanzania","TZA","low",4445,3820,8559,13523,18992,24972,31444,38413,46006
"Africa","Tanzania","Tanzania","TZA","mean",4445,5775,12742,20590,29464,39336,50480,63128,78233
"Africa","Tanzania","Tanzania","TZA","high",4445,7829,17318,28489,41384,56493,71795,78233,78233
"Africa","Togo","Togo","TGO","low",555,365,752,1303,1303,1303,1303,1303,1303
"Africa","Togo","Togo","TGO","mean",555,650,1303,1303,1303,1303,1303,1303,1303
"Africa","Togo","Togo","TGO","high",555,993,1303,1303,1303,1303,1303,1303,1303
"Africa","Uganda","Uganda","UGA","low",11109,16082,48350,65026,65026,65026,65026,65026,65026
"Africa","Uganda","Uganda","UGA","mean",11109,27559,65026,65026,65026,65026,65026,65026,65026
"Africa","Uganda","Uganda","UGA","high",11109,41515,65026,65026,65026,65026,65026,65026,65026
